tic,date,open,high,low,close,volume

ABL,"Jan 3, 2022",82.85,82.85,82.01,82.26,"83,500"

ABL,"Jan 4, 2022",82.00,84.50,80.75,82.93,"59,000"

ABL,"Jan 5, 2022",82.70,84.49,82.70,83.36,"85,500"

ABL,"Jan 6, 2022",83.52,84.80,83.10,84.25,"25,000"

ABL,"Jan 7, 2022",85.00,89.50,85.00,86.24,"57,500"

ABL,"Jan 10, 2022",87.00,88.40,85.11,86.94,"48,000"

ABL,"Jan 11, 2022",86.00,87.75,85.99,87.01,"34,500"

ABL,"Jan 12, 2022",87.99,90.16,87.99,88.16,"143,500"

ABL,"Jan 13, 2022",88.75,89.00,87.30,87.77,"196,000"

ABL,"Jan 14, 2022",88.95,88.95,87.26,87.76,"2,500"

ABL,"Jan 17, 2022",88.49,88.50,86.50,86.85,"80,500"

ABL,"Jan 18, 2022",86.50,89.50,85.51,85.67,"52,500"

ABL,"Jan 19, 2022",85.00,85.01,84.70,84.70,"7,000"

ABL,"Jan 20, 2022",85.48,85.48,84.98,85.00,"3,500"

ABL,"Jan 21, 2022",85.02,89.89,85.00,88.82,"49,000"

ABL,"Jan 24, 2022",88.35,88.35,87.30,87.30,"26,500"

ABL,"Jan 25, 2022",85.11,86.40,85.00,86.40,"3,000"

ABL,"Jan 26, 2022",86.40,86.40,85.00,85.00,"2,500"

ABL,"Jan 27, 2022",88.50,89.89,88.01,89.00,"705,500"

ABL,"Jan 28, 2022",90.00,90.00,89.00,89.00,"148,000"

ABL,"Jan 31, 2022",89.98,89.99,89.00,89.11,"56,500"

ABL,"Feb 1, 2022",89.21,91.80,89.21,90.97,"288,000"

ABL,"Feb 2, 2022",91.99,91.99,91.00,91.43,"7,500"

ABL,"Feb 3, 2022",91.95,91.95,90.51,90.99,"48,500"

ABL,"Feb 4, 2022",90.10,91.75,90.10,90.50,"62,000"

ABL,"Feb 7, 2022",90.00,90.50,89.15,89.38,"15,000"

ABL,"Feb 8, 2022",89.99,90.60,89.10,89.39,"34,500"

ABL,"Feb 9, 2022",90.90,90.90,89.00,89.00,"29,500"

ABL,"Feb 10, 2022",88.50,88.75,86.00,86.58,"37,500"

ABL,"Feb 11, 2022",86.61,88.00,86.52,87.15,"181,000"

ABL,"Feb 14, 2022",87.00,87.00,87.00,87.00,"1,500"

ABL,"Feb 15, 2022",87.99,90.80,87.11,89.93,"90,500"

ABL,"Feb 17, 2022",85.51,89.45,85.10,85.99,"262,500"

ABL,"Feb 18, 2022",86.11,87.75,85.99,87.09,"132,000"

ABL,"Feb 21, 2022",86.51,87.49,86.40,86.50,"39,000"

ABL,"Feb 22, 2022",86.56,87.00,86.50,86.63,"170,000"

ABL,"Feb 23, 2022",86.51,88.40,86.50,86.50,"27,000"

ABL,"Feb 24, 2022",86.50,86.50,86.50,86.50,"171,000"

ABL,"Feb 25, 2022",87.45,88.97,86.50,86.50,"23,000"

ABL,"Feb 28, 2022",86.00,86.00,84.99,85.50,"27,000"

ABL,"Mar 1, 2022",86.00,86.00,86.00,86.00,"2,000"

ABL,"Mar 2, 2022",85.90,86.00,85.90,86.00,"16,000"

ABL,"Mar 3, 2022",86.00,86.00,86.00,86.00,"2,000"

ABL,"Mar 4, 2022",86.00,86.07,86.00,86.00,"21,000"

