tic,date,open,high,low,close,volume

ACPL,"Jan 3, 2022",131.10,142.00,131.10,138.63,"39,900"

ACPL,"Jan 4, 2022",139.99,140.00,138.10,139.82,"51,700"

ACPL,"Jan 5, 2022",139.78,142.48,138.31,138.55,"5,700"

ACPL,"Jan 6, 2022",137.01,137.85,135.00,135.40,"32,700"

ACPL,"Jan 7, 2022",136.00,136.28,136.00,136.14,"2,200"

ACPL,"Jan 10, 2022",137.48,140.00,137.20,138.14,"160,100"

ACPL,"Jan 11, 2022",137.90,138.00,135.00,136.08,"35,400"

ACPL,"Jan 12, 2022",138.66,139.94,136.00,138.88,"69,300"

ACPL,"Jan 13, 2022",136.54,138.55,136.40,137.27,"4,600"

ACPL,"Jan 14, 2022",138.49,139.00,138.49,138.92,"2,000"

ACPL,"Jan 17, 2022",135.01,138.91,135.00,137.54,"2,300"

ACPL,"Jan 18, 2022",136.75,136.75,136.50,136.50,"3,200"

ACPL,"Jan 19, 2022",136.00,136.00,132.00,132.25,"5,300"

ACPL,"Jan 20, 2022",128.60,135.00,126.20,134.88,"2,300"

ACPL,"Jan 21, 2022",133.50,135.50,133.50,134.50,200

ACPL,"Jan 24, 2022",130.13,132.00,130.09,131.08,"1,300"

ACPL,"Jan 25, 2022",132.01,135.00,132.01,134.49,"2,700"

ACPL,"Jan 27, 2022",134.00,135.00,134.00,134.50,400

ACPL,"Jan 28, 2022",130.13,133.05,130.13,132.18,"1,100"

ACPL,"Jan 31, 2022",136.84,136.84,132.52,135.78,"8,400"

ACPL,"Feb 1, 2022",136.00,136.90,134.85,134.99,"13,900"

ACPL,"Feb 2, 2022",136.80,136.80,134.25,135.61,"12,700"

ACPL,"Feb 3, 2022",135.02,136.00,134.00,135.25,"1,300"

ACPL,"Feb 4, 2022",136.00,136.00,135.99,135.99,"12,600"

ACPL,"Feb 7, 2022",135.00,135.95,134.09,134.82,"5,700"

ACPL,"Feb 8, 2022",135.00,135.00,132.11,134.00,"2,700"

ACPL,"Feb 9, 2022",134.00,134.00,132.99,133.49,"9,200"

ACPL,"Feb 10, 2022",133.98,133.98,133.00,133.05,"5,000"

ACPL,"Feb 11, 2022",133.40,134.25,129.45,130.59,"16,000"

ACPL,"Feb 14, 2022",130.00,130.00,126.20,126.85,"7,700"

ACPL,"Feb 15, 2022",126.00,129.00,123.00,125.98,"9,200"

ACPL,"Feb 16, 2022",126.52,130.00,126.00,127.94,"19,300"

ACPL,"Feb 17, 2022",130.00,130.00,128.25,128.92,"1,500"

ACPL,"Feb 18, 2022",128.00,132.00,128.00,130.06,"2,000"

ACPL,"Feb 21, 2022",130.06,130.06,126.00,126.00,"11,200"

ACPL,"Feb 22, 2022",129.00,129.00,127.90,128.00,"3,300"

ACPL,"Feb 23, 2022",130.00,132.99,121.51,129.80,"20,200"

ACPL,"Feb 24, 2022",126.51,127.00,122.04,124.68,"2,600"

ACPL,"Feb 25, 2022",125.00,128.89,125.00,126.37,"1,100"

ACPL,"Feb 28, 2022",125.10,132.00,125.00,132.00,"3,900"

ACPL,"Mar 1, 2022",130.90,132.89,129.00,132.27,"8,700"

ACPL,"Mar 2, 2022",129.10,129.10,124.01,124.81,"35,000"

ACPL,"Mar 3, 2022",124.70,125.94,123.50,124.45,"11,700"

ACPL,"Mar 4, 2022",124.45,124.45,122.50,123.15,"1,400"

ACPL,"Mar 7, 2022",120.20,124.89,118.00,124.55,"4,000"

ACPL,"Mar 8, 2022",121.12,123.75,120.02,123.25,"2,400"

ACPL,"Mar 9, 2022",120.52,123.23,118.00,119.67,"8,900"

ACPL,"Mar 10, 2022",120.01,128.00,120.00,125.98,"37,300"

ACPL,"Mar 11, 2022",123.00,126.90,121.10,124.99,"16,000"

ACPL,"Mar 14, 2022",123.00,123.00,120.00,120.97,"5,300"

