tic,date,open,high,low,close,volume

AGIC,"Jan 3, 2022",19.01,19.45,19.00,19.45,"3,000"

AGIC,"Jan 4, 2022",19.45,19.45,19.45,19.45,"1,500"

AGIC,"Jan 5, 2022",19.49,19.50,19.49,19.49,"2,000"

AGIC,"Jan 6, 2022",19.02,19.02,19.02,19.02,500

AGIC,"Jan 7, 2022",19.40,19.40,19.40,19.40,"2,000"

AGIC,"Jan 10, 2022",19.30,19.70,19.30,19.30,"2,500"

AGIC,"Jan 11, 2022",19.95,19.95,19.95,19.95,500

AGIC,"Jan 12, 2022",19.51,19.51,19.51,19.51,"4,000"

AGIC,"Jan 13, 2022",19.61,19.78,19.53,19.78,"9,000"

AGIC,"Jan 14, 2022",19.96,21.20,19.36,19.36,"7,000"

AGIC,"Jan 17, 2022",19.98,19.98,19.52,19.52,"2,500"

AGIC,"Jan 18, 2022",20.37,20.37,20.37,20.37,"1,500"

AGIC,"Jan 26, 2022",20.34,20.34,20.20,20.33,"2,500"

AGIC,"Jan 27, 2022",20.05,20.05,19.50,19.80,"35,500"

AGIC,"Jan 28, 2022",20.00,20.64,20.00,20.00,"11,000"

AGIC,"Feb 1, 2022",19.95,20.80,19.95,20.78,"4,000"

AGIC,"Feb 2, 2022",21.49,21.49,21.49,21.49,500

AGIC,"Feb 3, 2022",20.10,21.49,20.00,20.23,"20,000"

AGIC,"Feb 4, 2022",20.00,20.49,20.00,20.49,"4,000"

AGIC,"Feb 9, 2022",20.25,20.69,20.10,20.69,"5,500"

AGIC,"Feb 10, 2022",20.30,20.30,20.30,20.30,"4,000"

AGIC,"Feb 11, 2022",20.00,20.70,20.00,20.65,"4,500"

AGIC,"Feb 14, 2022",19.53,20.64,19.51,19.95,"10,500"

AGIC,"Feb 15, 2022",19.66,20.10,19.65,20.10,"4,500"

AGIC,"Feb 16, 2022",19.80,19.85,19.15,19.24,"26,500"

AGIC,"Feb 17, 2022",19.70,19.70,19.00,19.01,"98,000"

AGIC,"Feb 18, 2022",19.70,19.70,19.01,19.12,"26,000"

AGIC,"Feb 21, 2022",19.50,19.50,18.80,19.24,"39,000"

AGIC,"Feb 23, 2022",18.70,19.50,18.70,19.50,"1,000"

AGIC,"Feb 24, 2022",19.18,19.18,18.75,18.75,"3,500"

AGIC,"Feb 25, 2022",19.25,19.25,19.24,19.24,"1,500"

AGIC,"Feb 28, 2022",18.60,18.89,18.60,18.89,"1,500"

AGIC,"Mar 1, 2022",18.95,19.25,18.93,19.25,"5,500"

AGIC,"Mar 2, 2022",19.01,19.50,19.00,19.50,"2,000"

AGIC,"Mar 3, 2022",19.55,19.60,19.40,19.40,"7,500"

AGIC,"Mar 4, 2022",20.01,20.01,19.88,19.88,"12,000"

AGIC,"Mar 7, 2022",19.03,19.30,18.81,18.81,"19,500"

AGIC,"Mar 8, 2022",19.30,19.75,18.81,19.39,"12,000"

AGIC,"Mar 10, 2022",19.60,19.67,19.60,19.60,"4,500"

AGIC,"Mar 11, 2022",19.30,19.60,19.30,19.30,"8,500"

AGIC,"Mar 14, 2022",19.40,19.40,19.40,19.40,500

AGIC,"Mar 16, 2022",19.40,19.40,19.40,19.40,"5,000"

AGIC,"Mar 17, 2022",19.16,19.16,19.00,19.00,"13,000"

AGIC,"Mar 18, 2022",19.45,19.45,19.45,19.45,"1,500"

AGIC,"Mar 21, 2022",19.30,19.59,19.30,19.59,"1,500"

AGIC,"Mar 22, 2022",19.03,19.21,19.03,19.21,"3,000"

AGIC,"Mar 25, 2022",19.65,19.65,19.65,19.65,"1,000"

AGIC,"Mar 28, 2022",19.70,19.70,19.70,19.70,500

AGIC,"Mar 29, 2022",19.50,19.50,19.50,19.50,"10,000"

AGIC,"Mar 30, 2022",19.11,19.25,19.05,19.25,"10,000"

AGIC,"Mar 31, 2022",19.50,19.98,19.50,19.90,"9,500"

AGIC,"Apr 1, 2022",19.50,19.50,19.50,19.50,"12,000"

AGIC,"Apr 4, 2022",19.19,19.19,19.10,19.13,"8,000"

AGIC,"Apr 6, 2022",19.14,19.90,19.14,19.75,"2,500"

AGIC,"Apr 7, 2022",19.75,19.89,19.75,19.75,"13,000"

AGIC,"Apr 8, 2022",19.88,19.88,19.88,19.88,"1,000"

AGIC,"Apr 11, 2022",20.25,20.25,19.62,19.62,"17,500"

