tic,date,open,high,low,close,volume

AGTL,"Jan 3, 2022",337.00,341.00,337.00,340.83,"2,800"

AGTL,"Jan 4, 2022",339.00,344.00,339.00,343.99,"2,900"

AGTL,"Jan 5, 2022",335.00,350.00,335.00,343.00,"5,900"

AGTL,"Jan 6, 2022",342.00,342.90,339.10,342.90,400

AGTL,"Jan 7, 2022",345.00,345.00,344.00,344.00,"1,000"

AGTL,"Jan 10, 2022",345.00,345.00,341.52,343.00,"2,000"

AGTL,"Jan 11, 2022",343.00,343.00,340.00,342.70,"1,600"

AGTL,"Jan 12, 2022",345.00,345.00,342.50,343.00,"4,100"

AGTL,"Jan 13, 2022",342.99,343.00,340.01,342.65,"6,400"

AGTL,"Jan 14, 2022",342.99,342.99,340.00,341.00,400

AGTL,"Jan 17, 2022",341.10,341.90,338.00,341.90,"1,300"

AGTL,"Jan 18, 2022",341.90,341.99,339.00,341.50,"1,000"

AGTL,"Jan 19, 2022",341.00,341.00,338.27,339.14,500

AGTL,"Jan 20, 2022",336.14,340.95,336.14,340.95,300

AGTL,"Jan 21, 2022",341.50,341.50,341.49,341.49,300

AGTL,"Jan 25, 2022",341.90,342.00,338.50,338.51,"3,700"

AGTL,"Jan 26, 2022",336.10,340.00,336.10,337.92,"1,500"

AGTL,"Jan 27, 2022",339.10,339.10,337.50,337.77,"1,600"

AGTL,"Jan 28, 2022",340.00,340.00,337.00,337.61,"4,900"

AGTL,"Jan 31, 2022",337.00,337.00,334.00,334.05,"5,300"

AGTL,"Feb 1, 2022",337.50,337.50,334.00,337.00,"4,500"

AGTL,"Feb 2, 2022",338.50,339.50,338.00,339.37,"3,900"

AGTL,"Feb 3, 2022",339.90,339.90,335.00,337.00,"3,500"

AGTL,"Feb 4, 2022",339.98,342.00,337.00,341.33,"3,600"

AGTL,"Feb 7, 2022",342.00,345.00,342.00,344.00,"1,500"

AGTL,"Feb 8, 2022",342.00,343.00,342.00,342.99,"2,000"

AGTL,"Feb 9, 2022",344.00,348.98,343.75,346.00,"5,900"

AGTL,"Feb 10, 2022",348.96,348.96,345.00,346.00,"2,000"

AGTL,"Feb 11, 2022",348.67,349.00,347.00,348.83,"4,000"

AGTL,"Feb 14, 2022",350.47,353.00,348.01,348.01,800

AGTL,"Feb 15, 2022",349.00,355.00,347.10,351.92,"5,500"

AGTL,"Feb 16, 2022",354.90,355.80,351.00,352.83,"6,000"

AGTL,"Feb 17, 2022",352.50,355.00,350.10,354.35,"7,300"

AGTL,"Feb 18, 2022",354.00,357.90,351.25,355.80,"4,800"

AGTL,"Feb 21, 2022",355.70,360.00,353.11,357.24,"4,300"

AGTL,"Feb 22, 2022",357.24,366.50,352.50,363.66,"14,200"

AGTL,"Feb 23, 2022",368.00,369.00,360.00,362.26,"3,200"

AGTL,"Feb 24, 2022",356.00,361.00,350.25,350.25,"10,100"

AGTL,"Feb 25, 2022",352.50,352.50,352.50,352.50,100

AGTL,"Feb 28, 2022",353.00,353.00,338.00,345.89,"12,200"

AGTL,"Mar 1, 2022",349.00,349.00,346.01,349.00,"2,300"

AGTL,"Mar 2, 2022",343.00,348.00,343.00,348.00,600

AGTL,"Mar 3, 2022",346.00,349.00,346.00,347.00,"1,400"

AGTL,"Mar 4, 2022",346.00,350.00,346.00,347.00,"1,000"

AGTL,"Mar 7, 2022",340.00,341.00,335.20,341.00,"2,600"

AGTL,"Mar 8, 2022",340.01,341.00,338.00,338.00,"2,500"

AGTL,"Mar 9, 2022",335.10,338.00,315.00,336.05,"1,400"

AGTL,"Mar 10, 2022",338.00,344.00,338.00,344.00,"2,200"

AGTL,"Mar 11, 2022",344.00,344.00,340.00,340.00,600

AGTL,"Mar 14, 2022",348.00,348.00,340.00,340.00,"3,500"

AGTL,"Mar 16, 2022",341.01,341.01,341.00,341.00,500

AGTL,"Mar 17, 2022",338.00,340.00,336.00,338.03,"1,400"

AGTL,"Mar 18, 2022",333.06,339.00,333.06,339.00,200

AGTL,"Mar 21, 2022",339.20,339.20,336.00,336.84,900

AGTL,"Mar 22, 2022",335.20,336.84,335.15,335.18,300

AGTL,"Mar 24, 2022",337.00,340.00,335.00,340.00,"1,100"

AGTL,"Mar 25, 2022",340.01,345.00,340.00,345.00,"1,200"

AGTL,"Mar 28, 2022",344.88,350.00,344.88,346.10,"2,800"

AGTL,"Mar 29, 2022",347.00,350.00,347.00,349.00,900

AGTL,"Mar 30, 2022",349.00,355.00,349.00,351.50,"2,700"

AGTL,"Mar 31, 2022",344.00,353.50,326.01,353.00,"5,300"

AGTL,"Apr 1, 2022",353.00,357.00,353.00,356.00,"1,600"

AGTL,"Apr 4, 2022",350.01,351.01,346.01,348.99,"5,300"

AGTL,"Apr 5, 2022",345.06,360.10,345.06,357.13,"6,900"

AGTL,"Apr 6, 2022",360.50,363.00,360.00,361.60,"1,900"

AGTL,"Apr 7, 2022",361.60,363.00,361.60,362.00,400

AGTL,"Apr 8, 2022",362.00,367.00,360.00,362.67,"4,600"

AGTL,"Apr 11, 2022",370.00,376.00,365.40,374.75,"8,400"

AGTL,"Apr 12, 2022",376.00,394.00,376.00,392.33,"17,100"

AGTL,"Apr 13, 2022",421.75,421.75,421.75,421.75,"22,600"

AGTL,"Apr 14, 2022",452.00,453.38,445.00,453.38,"87,000"

AGTL,"Apr 15, 2022",470.00,470.00,445.00,449.45,"64,000"

AGTL,"Apr 18, 2022",454.90,454.90,431.01,435.92,"11,600"

AGTL,"Apr 19, 2022",431.03,437.00,430.00,432.34,"9,900"

AGTL,"Apr 20, 2022",441.74,443.99,431.07,436.73,"9,900"

AGTL,"Apr 21, 2022",433.36,447.00,433.36,444.18,"14,700"

AGTL,"Apr 22, 2022",444.18,451.63,444.00,449.40,"8,900"

AGTL,"Apr 25, 2022",451.00,453.00,445.00,446.50,"6,600"

AGTL,"Apr 26, 2022",450.99,450.99,446.00,448.77,"9,400"

AGTL,"Apr 27, 2022",444.02,449.42,444.02,448.60,"6,500"

AGTL,"Apr 28, 2022",449.99,455.00,445.00,448.37,"20,000"

AGTL,"May 6, 2022",448.00,450.00,443.50,445.93,"17,300"

AGTL,"May 9, 2022",390.00,394.90,378.05,378.61,"8,900"

AGTL,"May 10, 2022",370.00,380.00,370.00,377.00,"1,400"

AGTL,"May 11, 2022",370.11,375.00,365.00,367.83,"4,100"

AGTL,"May 12, 2022",367.82,375.00,367.82,369.00,"2,500"

AGTL,"May 13, 2022",372.11,390.00,372.11,389.13,"14,300"

AGTL,"May 16, 2022",380.01,384.00,375.00,376.17,"7,800"

AGTL,"May 17, 2022",377.00,395.00,372.00,389.24,"19,700"

AGTL,"May 18, 2022",389.24,399.99,375.02,388.33,"43,000"

AGTL,"May 19, 2022",390.00,392.00,390.00,391.40,"2,500"

AGTL,"May 20, 2022",390.00,391.89,385.25,386.17,"1,700"

