tic,date,open,high,low,close,volume

AIRLINK,"Jan 3, 2022",58.50,59.50,58.50,59.16,"78,500"

AIRLINK,"Jan 4, 2022",59.00,61.99,59.00,61.16,"203,000"

AIRLINK,"Jan 5, 2022",61.16,64.15,59.25,62.79,"354,000"

AIRLINK,"Jan 6, 2022",61.35,61.50,60.00,60.06,"236,500"

AIRLINK,"Jan 7, 2022",60.99,61.95,60.06,61.39,"140,500"

AIRLINK,"Jan 10, 2022",61.00,61.69,61.00,61.41,"104,500"

AIRLINK,"Jan 11, 2022",61.50,62.60,59.00,60.21,"328,000"

AIRLINK,"Jan 12, 2022",60.01,60.89,59.90,59.99,"54,000"

AIRLINK,"Jan 13, 2022",59.90,59.90,59.10,59.74,"36,000"

AIRLINK,"Jan 14, 2022",60.00,60.25,59.12,59.29,"32,500"

AIRLINK,"Jan 17, 2022",59.01,59.50,58.60,58.98,"43,000"

AIRLINK,"Jan 18, 2022",58.51,59.64,58.50,58.79,"19,500"

AIRLINK,"Jan 19, 2022",58.52,58.52,56.50,56.79,"91,000"

AIRLINK,"Jan 20, 2022",56.00,56.50,55.00,55.94,"386,500"

AIRLINK,"Jan 21, 2022",56.01,57.50,55.80,56.63,"290,500"

AIRLINK,"Jan 24, 2022",56.25,56.61,56.01,56.08,"57,000"

AIRLINK,"Jan 25, 2022",56.48,56.50,55.50,55.56,"101,000"

AIRLINK,"Jan 26, 2022",55.17,55.84,54.00,54.06,"112,000"

AIRLINK,"Jan 27, 2022",55.00,55.00,54.11,54.37,"29,500"

AIRLINK,"Jan 28, 2022",54.60,55.48,54.60,54.70,"31,500"

AIRLINK,"Jan 31, 2022",55.48,56.50,55.48,56.00,"55,000"

AIRLINK,"Feb 1, 2022",56.50,56.89,55.82,56.53,"27,000"

AIRLINK,"Feb 2, 2022",55.30,60.76,55.30,60.64,"233,000"

AIRLINK,"Feb 3, 2022",61.25,62.45,59.02,60.41,"222,000"

AIRLINK,"Feb 4, 2022",61.10,61.45,58.21,59.51,"59,000"

AIRLINK,"Feb 7, 2022",60.90,62.00,59.05,60.13,"2,492,000"

AIRLINK,"Feb 8, 2022",60.15,61.00,60.15,60.55,"127,500"

AIRLINK,"Feb 9, 2022",60.99,61.00,60.00,60.33,"118,000"

AIRLINK,"Feb 10, 2022",59.50,60.60,59.50,59.53,"190,500"

AIRLINK,"Feb 11, 2022",58.65,60.30,58.65,59.27,"12,000"

AIRLINK,"Feb 14, 2022",58.01,58.95,58.00,58.00,"23,000"

AIRLINK,"Feb 15, 2022",58.89,59.00,58.00,58.75,"30,000"

AIRLINK,"Feb 16, 2022",59.00,59.50,58.00,58.48,"27,500"

AIRLINK,"Feb 17, 2022",57.98,58.50,57.75,58.00,"39,500"

AIRLINK,"Feb 18, 2022",58.00,59.89,57.50,58.95,"28,500"

AIRLINK,"Feb 21, 2022",58.00,59.50,57.50,57.95,"14,000"

AIRLINK,"Feb 22, 2022",57.02,59.30,55.11,56.66,"105,000"

AIRLINK,"Feb 23, 2022",57.00,57.50,55.64,57.32,"22,500"

AIRLINK,"Feb 24, 2022",55.90,57.90,54.00,54.93,"800,000"

AIRLINK,"Feb 25, 2022",53.55,55.85,53.55,54.75,"34,000"

AIRLINK,"Feb 28, 2022",53.65,57.35,53.20,56.87,"47,500"

AIRLINK,"Mar 1, 2022",55.73,58.67,55.70,57.23,"307,500"

AIRLINK,"Mar 2, 2022",55.77,57.70,53.25,56.70,"14,500"

AIRLINK,"Mar 3, 2022",57.47,57.50,54.50,54.80,"58,500"

AIRLINK,"Mar 4, 2022",55.49,56.29,55.00,55.52,"22,000"

AIRLINK,"Mar 7, 2022",56.84,56.84,53.35,53.85,"54,000"

AIRLINK,"Mar 8, 2022",53.00,55.50,53.00,53.93,"37,000"

AIRLINK,"Mar 9, 2022",53.75,54.00,52.60,53.04,"18,000"

AIRLINK,"Mar 10, 2022",54.89,54.90,53.05,53.32,"33,000"

AIRLINK,"Mar 11, 2022",53.25,55.45,52.50,53.63,"58,500"

AIRLINK,"Mar 14, 2022",52.61,55.90,52.10,54.05,"46,500"

AIRLINK,"Mar 15, 2022",54.00,55.00,53.25,54.53,"58,000"

AIRLINK,"Mar 16, 2022",54.60,54.60,54.10,54.15,"11,500"

AIRLINK,"Mar 17, 2022",53.72,54.45,53.27,54.08,"16,000"

AIRLINK,"Mar 18, 2022",51.56,53.69,51.56,53.05,"22,000"

AIRLINK,"Mar 21, 2022",52.52,53.50,52.32,53.25,"14,000"

AIRLINK,"Mar 22, 2022",53.01,53.01,52.50,52.60,"11,000"

AIRLINK,"Mar 24, 2022",52.02,53.38,51.49,52.89,"180,000"

AIRLINK,"Mar 25, 2022",53.00,53.00,52.13,52.71,"28,000"

AIRLINK,"Mar 28, 2022",52.40,53.58,51.75,53.17,"25,000"

AIRLINK,"Mar 29, 2022",53.00,53.89,52.60,52.81,"103,500"

AIRLINK,"Mar 30, 2022",51.86,54.50,51.70,53.33,"201,500"

AIRLINK,"Mar 31, 2022",53.20,54.40,53.00,53.93,"274,000"

AIRLINK,"Apr 1, 2022",53.52,55.00,53.50,54.55,"210,000"

AIRLINK,"Apr 4, 2022",51.60,53.00,51.60,52.00,"24,500"

AIRLINK,"Apr 5, 2022",52.00,52.84,49.75,50.62,"802,000"

AIRLINK,"Apr 6, 2022",50.73,51.60,50.61,51.03,"490,500"

AIRLINK,"Apr 7, 2022",51.11,51.20,50.50,50.53,"10,500"

AIRLINK,"Apr 8, 2022",50.00,53.15,49.80,52.83,"119,000"

AIRLINK,"Apr 11, 2022",54.00,56.79,54.00,54.77,"125,500"

AIRLINK,"Apr 12, 2022",54.00,54.00,52.92,53.96,"106,000"

AIRLINK,"Apr 13, 2022",53.50,54.00,52.20,52.48,"93,000"

AIRLINK,"Apr 14, 2022",52.89,52.97,51.81,52.02,"37,000"

AIRLINK,"Apr 15, 2022",51.80,52.49,51.51,52.06,"17,000"

AIRLINK,"Apr 18, 2022",52.00,52.04,51.41,51.55,"55,500"

AIRLINK,"Apr 19, 2022",51.01,51.55,49.00,49.43,"204,000"

AIRLINK,"Apr 20, 2022",49.53,50.00,47.81,48.76,"110,000"

AIRLINK,"Apr 21, 2022",48.10,51.00,48.10,49.87,"322,000"

AIRLINK,"Apr 22, 2022",50.99,50.99,49.00,49.10,"33,500"

AIRLINK,"Apr 25, 2022",49.00,50.00,48.61,48.77,"53,500"

AIRLINK,"Apr 26, 2022",48.78,48.78,47.35,47.62,"49,000"

AIRLINK,"Apr 27, 2022",47.62,47.62,45.52,45.93,"132,000"

AIRLINK,"Apr 28, 2022",46.44,46.44,44.13,44.88,"434,500"

AIRLINK,"May 6, 2022",41.75,44.05,41.75,43.17,"108,000"

AIRLINK,"May 9, 2022",43.49,45.00,41.11,41.24,"159,500"

AIRLINK,"May 10, 2022",41.50,41.50,40.00,40.44,"146,500"

AIRLINK,"May 11, 2022",40.44,40.44,38.03,38.48,"403,500"

AIRLINK,"May 12, 2022",38.00,38.00,35.80,37.37,"111,500"

AIRLINK,"May 13, 2022",36.52,40.17,36.52,39.95,"187,500"

AIRLINK,"May 16, 2022",39.95,39.95,36.96,36.99,"322,000"

AIRLINK,"May 17, 2022",37.00,37.60,36.50,36.94,"61,500"

AIRLINK,"May 18, 2022",36.12,39.71,36.12,39.71,"704,500"

AIRLINK,"May 19, 2022",39.41,41.75,39.41,41.19,"69,500"

AIRLINK,"May 20, 2022",43.00,44.27,43.00,44.27,"361,500"

