tic,date,open,high,low,close,volume

ALAC,"Jan 3, 2022",7.16,7.16,7.15,7.15,"4,500"

ALAC,"Jan 4, 2022",7.20,7.30,7.16,7.16,"9,500"

ALAC,"Jan 5, 2022",7.22,7.74,7.22,7.74,"2,500"

ALAC,"Jan 6, 2022",7.27,7.27,7.01,7.01,"27,500"

ALAC,"Jan 7, 2022",7.67,7.67,7.67,7.67,500

ALAC,"Jan 10, 2022",7.06,7.50,7.06,7.50,"3,000"

ALAC,"Jan 11, 2022",7.50,7.50,7.50,7.50,500

ALAC,"Jan 14, 2022",7.03,7.03,7.00,7.00,"83,500"

ALAC,"Jan 17, 2022",7.01,7.01,6.99,6.99,"4,000"

ALAC,"Jan 19, 2022",6.63,7.06,6.63,7.06,"5,500"

ALAC,"Jan 20, 2022",6.80,6.80,6.80,6.80,"1,000"

ALAC,"Jan 26, 2022",6.80,6.80,6.80,6.80,"3,500"

ALAC,"Jan 31, 2022",6.61,6.61,6.61,6.61,"1,000"

ALAC,"Feb 3, 2022",6.90,7.00,6.61,7.00,"25,000"

ALAC,"Feb 4, 2022",6.99,7.10,6.99,7.03,"9,500"

ALAC,"Feb 7, 2022",6.85,7.00,6.70,6.75,"33,000"

ALAC,"Feb 10, 2022",6.98,6.98,6.98,6.98,500

ALAC,"Feb 11, 2022",6.56,7.90,6.56,7.90,"1,000"

ALAC,"Feb 14, 2022",6.90,6.90,6.90,6.90,500

ALAC,"Feb 18, 2022",6.51,7.00,6.49,6.51,"112,500"

ALAC,"Feb 21, 2022",6.50,6.50,6.50,6.50,500

ALAC,"Feb 22, 2022",0.00,6.50,6.50,6.50,"2,000"

ALAC,"Feb 24, 2022",6.00,6.48,6.00,6.48,"5,000"

ALAC,"Feb 25, 2022",6.02,6.85,6.02,6.85,"1,000"

ALAC,"Mar 2, 2022",6.10,6.20,6.01,6.20,"15,500"

ALAC,"Mar 3, 2022",6.25,6.60,6.25,6.60,"10,500"

ALAC,"Mar 4, 2022",6.25,6.25,6.25,6.25,500

ALAC,"Mar 7, 2022",6.83,6.83,6.25,6.25,"2,500"

ALAC,"Mar 9, 2022",6.25,6.25,6.25,6.25,"5,000"

ALAC,"Mar 10, 2022",6.31,6.31,5.99,6.00,"25,000"

ALAC,"Mar 11, 2022",6.00,6.00,5.99,6.00,"17,500"

ALAC,"Mar 14, 2022",6.80,6.80,6.10,6.10,"1,500"

ALAC,"Mar 15, 2022",5.75,6.25,5.75,6.04,"3,000"

ALAC,"Mar 17, 2022",6.39,6.39,6.39,6.39,500

ALAC,"Mar 18, 2022",6.05,6.05,5.90,5.95,"10,500"

ALAC,"Mar 21, 2022",6.00,6.00,6.00,6.00,"3,500"

ALAC,"Mar 22, 2022",6.00,6.05,6.00,6.05,"1,000"

ALAC,"Mar 24, 2022",0.00,6.05,6.05,6.05,"64,000"

ALAC,"Mar 25, 2022",6.10,6.49,6.00,6.00,"8,500"

ALAC,"Mar 28, 2022",6.05,6.90,6.05,6.90,"11,500"

ALAC,"Mar 29, 2022",6.01,6.16,6.00,6.15,"65,500"

ALAC,"Mar 30, 2022",6.16,6.43,6.11,6.43,"23,500"

ALAC,"Mar 31, 2022",6.43,6.43,6.40,6.40,"3,500"

ALAC,"Apr 1, 2022",6.25,6.75,6.25,6.58,"3,000"

ALAC,"Apr 5, 2022",5.96,6.80,5.95,6.37,"4,500"

ALAC,"Apr 6, 2022",6.20,6.20,6.20,6.20,"15,000"

ALAC,"Apr 11, 2022",6.88,6.88,6.88,6.88,500

ALAC,"Apr 12, 2022",6.49,6.50,6.49,6.50,"11,000"

ALAC,"Apr 13, 2022",6.60,6.60,6.60,6.60,"10,000"

ALAC,"Apr 15, 2022",6.50,6.50,6.50,6.50,"10,000"

ALAC,"Apr 18, 2022",6.50,6.60,6.50,6.60,"1,500"

ALAC,"Apr 19, 2022",6.36,6.36,6.35,6.35,"2,000"

ALAC,"Apr 20, 2022",6.36,6.50,6.36,6.50,"5,000"

ALAC,"Apr 22, 2022",6.40,6.90,6.35,6.75,"3,500"

ALAC,"Apr 26, 2022",6.05,6.25,6.00,6.00,"84,000"

ALAC,"May 6, 2022",6.78,6.78,6.78,6.78,500

ALAC,"May 9, 2022",6.00,6.49,6.00,6.49,"1,500"

ALAC,"May 10, 2022",5.81,6.39,5.81,6.39,"1,500"

ALAC,"May 11, 2022",6.00,6.40,5.91,6.27,"3,500"

ALAC,"May 13, 2022",6.44,6.44,6.44,6.44,500

ALAC,"May 19, 2022",5.90,6.00,5.90,6.00,"2,500"

ALAC,"May 20, 2022",5.98,6.00,5.98,6.00,"1,500"

