tic,date,open,high,low,close,volume

APL,"Jan 3, 2022",318.94,320.00,318.94,319.00,"1,300"

APL,"Jan 4, 2022",319.00,323.50,319.00,320.00,"23,400"

APL,"Jan 5, 2022",320.50,324.81,320.00,324.32,"13,000"

APL,"Jan 6, 2022",320.10,326.40,320.09,325.44,"11,500"

APL,"Jan 7, 2022",326.81,327.00,320.26,324.63,"12,100"

APL,"Jan 10, 2022",326.74,328.01,323.00,325.51,"12,300"

APL,"Jan 11, 2022",325.00,325.50,323.00,325.50,"2,000"

APL,"Jan 12, 2022",327.00,330.00,323.02,324.87,"16,000"

APL,"Jan 13, 2022",321.40,328.30,321.40,325.31,"6,700"

APL,"Jan 14, 2022",325.00,330.00,325.00,327.00,"7,300"

APL,"Jan 17, 2022",325.22,325.22,323.50,325.00,"16,800"

APL,"Jan 18, 2022",325.00,327.90,323.15,325.83,"32,100"

APL,"Jan 19, 2022",322.50,327.15,321.55,323.01,"9,900"

APL,"Jan 20, 2022",322.55,329.99,320.11,326.91,"4,800"

APL,"Jan 21, 2022",326.98,327.00,325.02,325.10,"1,200"

APL,"Jan 24, 2022",325.01,325.01,324.00,324.10,700

APL,"Jan 25, 2022",324.25,328.00,324.25,325.00,"6,700"

APL,"Jan 26, 2022",325.00,325.00,320.00,324.07,"8,000"

APL,"Jan 27, 2022",324.98,326.75,324.00,326.59,"5,600"

APL,"Jan 28, 2022",324.01,325.00,323.00,323.19,"11,200"

APL,"Jan 31, 2022",328.00,330.00,327.00,329.93,"7,200"

APL,"Feb 1, 2022",329.60,344.80,329.60,339.25,"117,000"

APL,"Feb 2, 2022",343.00,347.00,341.00,341.64,"118,700"

APL,"Feb 3, 2022",341.00,342.73,339.00,340.04,"150,000"

APL,"Feb 4, 2022",340.00,348.75,340.00,342.55,"324,000"

APL,"Feb 7, 2022",342.55,359.50,342.55,353.53,"303,200"

APL,"Feb 8, 2022",354.00,354.00,346.00,351.39,"32,400"

APL,"Feb 9, 2022",351.00,362.45,351.00,358.95,"235,900"

APL,"Feb 10, 2022",345.01,347.95,340.00,340.00,"15,900"

APL,"Feb 11, 2022",341.99,341.99,337.70,337.81,"4,900"

APL,"Feb 14, 2022",336.00,336.00,332.00,332.84,"8,600"

APL,"Feb 15, 2022",334.00,334.00,327.00,330.00,"38,400"

APL,"Feb 16, 2022",330.00,330.00,325.00,326.78,"10,600"

APL,"Feb 17, 2022",329.24,329.90,325.52,326.00,"5,400"

APL,"Feb 18, 2022",324.20,328.70,324.20,328.22,"3,200"

APL,"Feb 21, 2022",325.15,326.50,323.50,324.16,"7,500"

APL,"Feb 22, 2022",321.60,325.00,321.05,322.00,"15,600"

APL,"Feb 23, 2022",322.50,325.00,321.50,321.80,"1,200"

APL,"Feb 24, 2022",320.10,329.80,315.00,321.56,"54,200"

APL,"Feb 25, 2022",321.00,322.00,316.00,319.90,"4,800"

APL,"Feb 28, 2022",317.50,317.50,314.00,316.00,"61,200"

APL,"Mar 1, 2022",316.10,319.29,316.10,318.00,"4,000"

APL,"Mar 2, 2022",315.10,315.25,313.00,314.01,"23,700"

APL,"Mar 3, 2022",314.00,316.00,312.00,313.22,"7,600"

APL,"Mar 4, 2022",315.00,316.00,310.00,312.98,"18,000"

APL,"Mar 7, 2022",310.01,310.01,305.13,305.67,"12,700"

APL,"Mar 8, 2022",309.00,309.00,295.00,297.57,"22,500"

APL,"Mar 9, 2022",299.99,305.00,299.00,304.33,"7,400"

APL,"Mar 10, 2022",301.82,305.00,296.60,300.20,"88,100"

APL,"Mar 11, 2022",300.13,300.13,294.00,295.06,"32,200"

APL,"Mar 14, 2022",297.00,297.00,294.50,294.87,"6,000"

APL,"Mar 15, 2022",298.92,299.00,295.11,296.39,"8,100"

APL,"Mar 16, 2022",299.99,302.00,296.39,298.54,"31,900"

APL,"Mar 17, 2022",298.00,299.98,297.00,297.35,"2,000"

APL,"Mar 18, 2022",297.00,298.00,294.00,294.40,"8,900"

APL,"Mar 21, 2022",296.95,296.95,294.00,294.01,"4,900"

APL,"Mar 22, 2022",299.80,299.80,293.51,294.00,"40,400"

APL,"Mar 24, 2022",295.00,295.00,293.51,293.82,"5,500"

APL,"Mar 25, 2022",297.74,298.00,294.99,295.00,"12,700"

APL,"Mar 28, 2022",294.00,295.00,294.00,295.00,"3,200"

APL,"Mar 29, 2022",297.00,300.00,294.00,297.30,"80,300"

APL,"Mar 30, 2022",296.10,299.25,295.50,297.00,"7,700"

APL,"Mar 31, 2022",297.00,302.00,297.00,301.66,"22,000"

APL,"Apr 1, 2022",299.00,306.87,299.00,302.63,"18,500"

APL,"Apr 4, 2022",296.00,302.63,293.00,293.35,"8,800"

APL,"Apr 5, 2022",298.99,298.99,293.13,293.51,"18,700"

