tic,date,open,high,low,close,volume

ASL,"Jan 3, 2022",14.99,15.75,14.90,15.57,"5,051,500"

ASL,"Jan 4, 2022",15.60,16.29,15.57,16.10,"4,923,500"

ASL,"Jan 5, 2022",16.30,16.35,15.75,15.85,"1,758,000"

ASL,"Jan 6, 2022",15.80,15.81,15.13,15.46,"2,556,000"

ASL,"Jan 7, 2022",15.49,15.91,15.49,15.70,"984,000"

ASL,"Jan 10, 2022",15.70,16.22,15.53,16.14,"2,391,000"

ASL,"Jan 11, 2022",16.19,16.20,15.81,16.07,"1,200,000"

ASL,"Jan 12, 2022",16.17,16.35,15.90,15.96,"1,656,000"

ASL,"Jan 13, 2022",16.00,16.00,15.69,15.73,"555,000"

ASL,"Jan 14, 2022",15.75,15.95,15.20,15.26,"1,135,500"

ASL,"Jan 17, 2022",15.25,15.64,14.93,15.33,"1,309,607"

ASL,"Jan 18, 2022",15.51,15.51,15.05,15.15,"337,025"

ASL,"Jan 19, 2022",15.50,15.50,14.81,14.96,"1,795,500"

ASL,"Jan 20, 2022",14.75,15.34,14.35,15.27,"1,214,902"

ASL,"Jan 21, 2022",15.40,15.75,15.35,15.48,"2,574,743"

ASL,"Jan 24, 2022",15.40,15.45,15.13,15.23,"669,845"

ASL,"Jan 25, 2022",15.30,15.80,15.30,15.50,"4,309,017"

ASL,"Jan 26, 2022",15.45,15.65,15.30,15.53,"576,912"

ASL,"Jan 27, 2022",15.65,15.67,15.27,15.33,"367,858"

ASL,"Jan 28, 2022",15.38,15.69,15.00,15.28,"2,547,870"

ASL,"Jan 31, 2022",15.35,15.75,15.35,15.67,"2,420,867"

ASL,"Feb 1, 2022",15.60,15.78,15.50,15.58,"4,793,099"

ASL,"Feb 2, 2022",15.70,16.10,15.50,16.04,"7,891,384"

ASL,"Feb 3, 2022",16.12,16.26,15.70,15.76,"1,786,605"

ASL,"Feb 4, 2022",15.90,15.90,15.52,15.56,"349,904"

ASL,"Feb 7, 2022",15.70,15.70,15.27,15.31,"1,139,165"

ASL,"Feb 8, 2022",15.50,15.50,15.20,15.38,"548,217"

ASL,"Feb 9, 2022",15.38,15.57,14.97,15.00,"4,373,821"

ASL,"Feb 10, 2022",15.10,15.15,14.81,14.87,"4,282,741"

ASL,"Feb 11, 2022",14.85,15.25,14.66,15.06,"2,850,029"

ASL,"Feb 14, 2022",15.18,15.18,14.01,14.30,"1,410,622"

ASL,"Feb 15, 2022",14.21,14.62,14.12,14.52,"940,323"

ASL,"Feb 16, 2022",14.31,14.54,14.31,14.48,"271,980"

ASL,"Feb 17, 2022",14.27,14.55,14.27,14.50,"589,114"

ASL,"Feb 18, 2022",14.36,14.55,14.35,14.43,"1,063,287"

ASL,"Feb 21, 2022",14.36,14.59,14.25,14.45,"661,127"

ASL,"Feb 22, 2022",14.30,14.30,13.85,14.06,"1,644,616"

ASL,"Feb 23, 2022",14.19,14.19,13.80,14.03,"629,891"

ASL,"Feb 24, 2022",13.47,13.69,13.10,13.17,"2,379,437"

ASL,"Feb 25, 2022",13.24,13.40,13.10,13.25,"1,841,209"

ASL,"Feb 28, 2022",13.01,13.35,12.28,13.11,"5,878,302"

ASL,"Mar 1, 2022",13.15,13.30,12.80,13.15,"1,878,644"

ASL,"Mar 2, 2022",13.15,13.30,12.61,13.04,"2,091,558"

ASL,"Mar 3, 2022",13.17,13.17,12.60,12.64,"2,988,266"

ASL,"Mar 4, 2022",12.75,13.10,12.70,12.90,"3,110,283"

ASL,"Mar 7, 2022",12.80,12.80,12.04,12.12,"5,247,761"

ASL,"Mar 8, 2022",12.01,12.49,12.01,12.24,"2,347,329"

ASL,"Mar 9, 2022",12.24,12.47,12.06,12.41,"845,539"

ASL,"Mar 10, 2022",12.74,12.86,12.55,12.80,"1,100,893"

ASL,"Mar 11, 2022",12.81,12.81,12.45,12.58,"229,239"

ASL,"Mar 14, 2022",12.58,12.79,12.40,12.44,"342,484"

ASL,"Mar 15, 2022",12.16,12.65,12.16,12.60,"309,811"

ASL,"Mar 16, 2022",12.70,13.05,12.42,12.65,"1,978,066"

ASL,"Mar 17, 2022",12.80,12.80,12.61,12.63,"111,282"

ASL,"Mar 18, 2022",12.35,12.60,12.15,12.35,"285,736"

ASL,"Mar 21, 2022",12.22,12.39,12.15,12.34,"204,038"

ASL,"Mar 22, 2022",12.48,12.49,12.25,12.32,"788,896"

ASL,"Mar 24, 2022",12.45,12.77,12.04,12.56,"1,173,607"

ASL,"Mar 25, 2022",12.55,13.15,12.51,12.78,"1,361,036"

ASL,"Mar 28, 2022",12.75,13.23,12.70,13.14,"373,687"

ASL,"Mar 29, 2022",13.14,13.99,13.14,13.85,"2,099,645"

ASL,"Mar 30, 2022",13.83,14.10,13.42,13.71,"963,069"

ASL,"Mar 31, 2022",13.53,14.34,13.53,14.24,"2,288,136"

ASL,"Apr 1, 2022",14.15,14.23,13.95,14.00,"1,340,909"

ASL,"Apr 4, 2022",13.80,13.85,13.40,13.66,"455,696"

ASL,"Apr 5, 2022",13.54,13.95,13.54,13.57,"145,374"

ASL,"Apr 6, 2022",13.60,13.76,13.60,13.73,"121,176"

ASL,"Apr 7, 2022",13.77,13.79,12.71,13.08,"2,475,135"

ASL,"Apr 8, 2022",13.00,13.10,12.90,12.98,"1,794,356"

ASL,"Apr 11, 2022",13.40,13.90,13.35,13.85,"3,557,353"

ASL,"Apr 12, 2022",13.90,13.95,13.55,13.93,"1,389,522"

ASL,"Apr 13, 2022",13.93,14.05,13.70,13.75,"1,760,377"

ASL,"Apr 14, 2022",13.89,13.94,13.56,13.87,"586,468"

ASL,"Apr 15, 2022",13.91,14.00,13.81,13.87,"715,419"

ASL,"Apr 18, 2022",13.87,13.95,13.62,13.70,"414,257"

ASL,"Apr 19, 2022",13.84,13.89,13.50,13.57,"158,506"

ASL,"Apr 20, 2022",13.46,13.73,13.05,13.18,"328,854"

ASL,"Apr 21, 2022",13.48,13.50,12.90,13.16,"319,704"

ASL,"Apr 22, 2022",13.16,13.29,13.10,13.20,"208,796"

ASL,"Apr 25, 2022",13.40,13.50,13.21,13.24,"363,007"

ASL,"Apr 26, 2022",13.40,13.40,12.87,12.90,"398,650"

ASL,"Apr 27, 2022",12.90,12.99,12.75,12.81,"265,302"

ASL,"Apr 28, 2022",12.60,12.71,12.15,12.32,"3,936,364"

ASL,"May 6, 2022",12.30,12.39,11.91,12.00,"699,437"

ASL,"May 9, 2022",12.00,12.05,11.10,11.28,"923,193"

ASL,"May 10, 2022",11.32,11.35,10.97,11.30,"667,713"

ASL,"May 11, 2022",11.30,11.45,10.40,10.58,"1,670,114"

ASL,"May 12, 2022",11.00,11.00,10.26,10.62,"591,572"

ASL,"May 13, 2022",10.62,11.15,10.50,11.01,"1,616,965"

ASL,"May 16, 2022",11.01,11.01,10.41,10.50,"909,060"

ASL,"May 17, 2022",10.50,10.76,10.40,10.52,"847,956"

ASL,"May 18, 2022",10.52,11.18,10.51,10.99,"2,241,165"

ASL,"May 19, 2022",10.99,11.99,10.99,11.91,"4,398,792"

