tic,date,open,high,low,close,volume

ATLH,"Jan 4, 2022",407.02,407.02,407.00,407.01,"1,100"

ATLH,"Jan 6, 2022",407.00,408.00,407.00,407.00,"7,900"

ATLH,"Jan 10, 2022",407.00,407.00,407.00,407.00,900

ATLH,"Jan 11, 2022",407.00,407.00,407.00,407.00,100

ATLH,"Jan 12, 2022",385.00,408.00,385.00,407.20,"1,900"

ATLH,"Jan 13, 2022",407.00,408.00,406.50,406.50,"1,100"

ATLH,"Jan 14, 2022",399.00,399.00,399.00,399.00,100

ATLH,"Jan 17, 2022",405.99,406.00,400.00,400.97,"1,600"

ATLH,"Jan 18, 2022",405.90,407.80,400.00,401.71,"10,000"

ATLH,"Jan 19, 2022",401.00,401.00,400.00,400.00,"2,900"

ATLH,"Jan 20, 2022",391.00,400.00,391.00,400.00,"1,500"

ATLH,"Jan 26, 2022",0.00,400.00,400.00,400.00,100

ATLH,"Jan 27, 2022",395.00,400.00,395.00,400.00,"1,200"

ATLH,"Jan 28, 2022",400.00,400.00,395.02,396.77,"2,800"

ATLH,"Jan 31, 2022",400.00,405.00,400.00,400.00,"3,900"

ATLH,"Feb 1, 2022",400.01,408.99,400.00,400.30,"3,900"

ATLH,"Feb 2, 2022",403.50,404.99,403.00,404.50,"1,700"

ATLH,"Feb 3, 2022",404.00,406.99,404.00,405.00,"1,300"

ATLH,"Feb 4, 2022",405.00,405.05,405.00,405.02,"2,300"

ATLH,"Feb 7, 2022",405.10,405.10,403.00,403.00,600

ATLH,"Feb 8, 2022",397.00,397.00,397.00,397.00,"50,100"

ATLH,"Feb 9, 2022",403.99,405.50,403.99,405.50,"5,800"

ATLH,"Feb 10, 2022",409.90,409.90,409.00,409.00,200

ATLH,"Feb 11, 2022",415.00,429.85,415.00,425.61,"3,600"

ATLH,"Feb 16, 2022",415.00,415.00,415.00,415.00,100

ATLH,"Feb 18, 2022",415.00,415.00,415.00,415.00,100

ATLH,"Feb 24, 2022",396.01,398.00,396.00,396.09,"2,800"

ATLH,"Mar 1, 2022",419.99,419.99,419.99,419.99,100

ATLH,"Mar 7, 2022",390.11,410.00,390.11,409.80,"1,600"

ATLH,"Mar 10, 2022",419.90,419.90,400.00,406.22,"1,000"

ATLH,"Mar 11, 2022",400.00,406.00,400.00,400.00,500

ATLH,"Mar 14, 2022",400.00,400.00,400.00,400.00,800

ATLH,"Mar 15, 2022",400.00,400.00,400.00,400.00,700

ATLH,"Mar 16, 2022",396.02,396.02,396.00,396.00,800

ATLH,"Mar 17, 2022",409.59,409.59,409.59,409.59,100

ATLH,"Mar 18, 2022",408.49,408.49,408.49,408.49,100

ATLH,"Mar 25, 2022",400.00,400.00,400.00,400.00,100

ATLH,"Mar 28, 2022",418.95,418.95,390.02,391.61,"4,100"

ATLH,"Mar 29, 2022",392.14,397.99,391.00,397.99,"5,100"

ATLH,"Mar 30, 2022",397.00,397.00,397.00,397.00,"1,100"

ATLH,"Mar 31, 2022",396.00,396.00,393.51,394.00,"2,300"

ATLH,"Apr 1, 2022",393.01,393.01,393.00,393.00,"1,000"

ATLH,"Apr 4, 2022",0.00,393.00,393.00,393.00,100

ATLH,"Apr 5, 2022",400.00,400.00,400.00,400.00,200

ATLH,"Apr 6, 2022",409.89,412.00,401.00,401.00,"1,900"

ATLH,"Apr 11, 2022",401.01,405.00,401.01,405.00,500

ATLH,"Apr 12, 2022",405.00,405.00,405.00,405.00,200

ATLH,"Apr 13, 2022",405.00,405.00,401.01,401.01,"2,700"

ATLH,"Apr 14, 2022",401.00,401.00,401.00,401.00,"2,000"

ATLH,"Apr 15, 2022",402.00,402.00,402.00,402.00,200

ATLH,"Apr 18, 2022",400.00,401.00,400.00,400.00,300

ATLH,"Apr 19, 2022",400.00,400.00,400.00,400.00,200

ATLH,"Apr 20, 2022",400.00,400.00,399.99,399.99,200

ATLH,"Apr 21, 2022",393.00,398.00,393.00,398.00,300

ATLH,"Apr 22, 2022",400.00,400.00,400.00,400.00,400

ATLH,"Apr 25, 2022",400.00,400.00,395.00,395.00,800

ATLH,"Apr 26, 2022",394.00,394.00,393.00,394.00,"1,600"

ATLH,"Apr 27, 2022",394.00,394.00,391.10,391.10,"1,700"

ATLH,"Apr 28, 2022",393.00,393.00,386.00,390.00,"1,300"

ATLH,"May 6, 2022",401.99,402.88,399.50,400.00,"12,700"

ATLH,"May 9, 2022",390.00,390.00,389.00,389.00,"1,900"

ATLH,"May 10, 2022",384.00,390.10,384.00,390.02,"4,000"

ATLH,"May 11, 2022",381.01,381.01,375.00,377.01,"3,500"

ATLH,"May 12, 2022",380.00,380.00,374.39,380.00,"2,500"

ATLH,"May 13, 2022",380.00,380.00,378.07,378.07,"1,300"

ATLH,"May 16, 2022",381.00,384.80,380.00,380.60,"1,000"

ATLH,"May 17, 2022",370.02,381.99,370.02,379.10,400

ATLH,"May 18, 2022",380.00,384.97,376.01,384.88,"3,300"

ATLH,"May 19, 2022",380.00,385.00,380.00,385.00,"1,200"

ATLH,"May 20, 2022",389.39,399.89,381.03,396.63,"2,100"

