tic,date,open,high,low,close,volume

BOP,"Jan 3, 2022",8.47,8.50,8.36,8.37,"2,360,000"

BOP,"Jan 4, 2022",8.40,8.55,8.40,8.50,"2,939,500"

BOP,"Jan 5, 2022",8.45,8.50,8.42,8.46,"503,500"

BOP,"Jan 6, 2022",8.46,8.50,8.42,8.45,"595,500"

BOP,"Jan 7, 2022",8.45,8.57,8.44,8.53,"1,121,500"

BOP,"Jan 10, 2022",8.50,8.68,8.50,8.64,"4,783,500"

BOP,"Jan 11, 2022",8.61,8.74,8.61,8.70,"1,261,500"

BOP,"Jan 12, 2022",8.74,8.80,8.67,8.72,"1,279,500"

BOP,"Jan 13, 2022",8.70,8.75,8.64,8.71,"1,623,000"

BOP,"Jan 14, 2022",8.74,8.79,8.70,8.73,"657,500"

BOP,"Jan 17, 2022",8.75,8.75,8.62,8.63,"758,000"

BOP,"Jan 18, 2022",8.61,8.70,8.58,8.63,"810,500"

BOP,"Jan 19, 2022",8.60,8.64,8.40,8.41,"2,670,500"

BOP,"Jan 20, 2022",8.40,8.50,8.40,8.46,"3,438,500"

BOP,"Jan 21, 2022",8.55,8.55,8.41,8.42,"879,000"

BOP,"Jan 24, 2022",8.42,8.46,8.40,8.42,"3,862,500"

BOP,"Jan 25, 2022",8.49,8.49,8.40,8.42,"3,142,500"

BOP,"Jan 26, 2022",8.53,8.53,8.37,8.37,"1,623,000"

BOP,"Jan 27, 2022",8.42,8.42,8.36,8.38,"1,257,500"

BOP,"Jan 28, 2022",8.37,8.44,8.35,8.37,"2,722,000"

BOP,"Jan 31, 2022",8.37,8.45,8.37,8.40,"2,351,000"

BOP,"Feb 1, 2022",8.39,8.45,8.38,8.40,"4,378,500"

BOP,"Feb 2, 2022",8.42,8.53,8.40,8.50,"3,771,500"

BOP,"Feb 3, 2022",8.55,8.60,8.48,8.50,"7,474,000"

BOP,"Feb 4, 2022",8.54,8.62,8.50,8.60,"4,213,500"

BOP,"Feb 7, 2022",8.58,8.58,8.38,8.40,"4,043,500"

BOP,"Feb 8, 2022",8.40,8.44,8.38,8.40,"2,586,000"

BOP,"Feb 9, 2022",8.40,8.45,8.35,8.40,"3,859,500"

BOP,"Feb 10, 2022",8.40,8.54,8.39,8.45,"10,525,000"

BOP,"Feb 11, 2022",8.50,8.50,8.41,8.45,"3,499,500"

BOP,"Feb 14, 2022",8.58,8.58,8.37,8.40,"5,340,500"

BOP,"Feb 15, 2022",8.41,8.44,8.38,8.39,"6,598,000"

BOP,"Feb 16, 2022",8.40,8.45,8.36,8.39,"5,862,500"

BOP,"Feb 17, 2022",8.40,8.40,8.32,8.36,"3,200,500"

BOP,"Feb 18, 2022",8.50,8.56,8.20,8.26,"60,301,500"

BOP,"Feb 21, 2022",8.30,8.32,8.12,8.15,"6,319,000"

BOP,"Feb 22, 2022",8.15,8.15,7.80,7.95,"14,411,500"

BOP,"Feb 23, 2022",8.06,8.06,7.77,7.80,"13,629,000"

BOP,"Feb 24, 2022",7.68,7.77,7.56,7.61,"8,502,000"

BOP,"Feb 25, 2022",7.61,7.80,7.61,7.75,"3,435,500"

BOP,"Feb 28, 2022",7.75,7.98,7.63,7.94,"3,274,000"

BOP,"Mar 1, 2022",8.01,8.08,7.91,8.04,"4,810,000"

BOP,"Mar 2, 2022",8.00,8.05,7.85,7.92,"1,671,000"

BOP,"Mar 3, 2022",8.02,8.09,7.90,7.92,"2,498,000"

BOP,"Mar 4, 2022",7.99,8.00,7.90,7.95,"1,510,500"

BOP,"Mar 7, 2022",7.91,7.91,7.75,7.79,"1,745,000"

BOP,"Mar 8, 2022",7.75,7.85,7.73,7.78,"1,028,000"

BOP,"Mar 9, 2022",7.75,7.86,7.70,7.72,"1,426,000"

BOP,"Mar 10, 2022",7.88,7.88,7.76,7.80,"804,000"

BOP,"Mar 11, 2022",7.80,7.84,7.66,7.70,"1,455,000"

BOP,"Mar 14, 2022",7.79,7.80,7.56,7.61,"3,108,500"

BOP,"Mar 15, 2022",7.65,7.75,7.63,7.73,"1,671,500"

BOP,"Mar 16, 2022",7.74,7.88,7.73,7.81,"2,907,500"

BOP,"Mar 17, 2022",7.89,7.98,7.85,7.87,"1,934,000"

BOP,"Mar 18, 2022",7.79,7.85,7.65,7.69,"3,092,500"

BOP,"Mar 21, 2022",7.01,7.02,6.83,6.87,"1,683,000"

BOP,"Mar 22, 2022",6.90,6.92,6.84,6.86,"1,455,000"

BOP,"Mar 24, 2022",6.93,6.93,6.70,6.84,"2,249,500"

BOP,"Mar 25, 2022",6.90,6.92,6.76,6.90,"2,460,000"

BOP,"Mar 28, 2022",6.87,6.90,6.80,6.88,"376,500"

BOP,"Mar 29, 2022",6.90,6.97,6.88,6.92,"1,066,000"

BOP,"Mar 30, 2022",6.96,6.98,6.84,6.89,"1,095,500"

BOP,"Mar 31, 2022",6.83,7.20,6.83,7.06,"1,106,500"

BOP,"Apr 1, 2022",7.06,7.16,6.90,7.02,"4,531,500"

BOP,"Apr 4, 2022",6.82,6.95,6.80,6.90,"1,574,500"

BOP,"Apr 5, 2022",6.90,6.97,6.89,6.91,"543,000"

BOP,"Apr 6, 2022",6.91,6.99,6.90,6.91,"828,000"

BOP,"Apr 7, 2022",6.85,6.93,6.78,6.80,"2,951,000"

BOP,"Apr 8, 2022",7.00,7.17,6.92,7.15,"3,140,000"

BOP,"Apr 11, 2022",7.35,7.50,7.31,7.38,"7,643,500"

BOP,"Apr 12, 2022",7.39,7.39,7.15,7.34,"2,029,000"

BOP,"Apr 13, 2022",7.21,7.34,7.15,7.16,"1,431,500"

BOP,"Apr 14, 2022",7.27,7.28,7.10,7.17,"1,322,000"

BOP,"Apr 15, 2022",7.20,7.23,7.11,7.12,"1,546,500"

BOP,"Apr 18, 2022",7.10,7.23,7.06,7.13,"750,000"

BOP,"Apr 19, 2022",7.17,7.17,7.05,7.07,"1,395,500"

BOP,"Apr 20, 2022",7.11,7.18,7.00,7.05,"501,000"

BOP,"Apr 21, 2022",7.05,7.10,6.90,6.92,"1,016,000"

BOP,"Apr 22, 2022",6.99,7.00,6.81,6.85,"1,905,500"

BOP,"Apr 25, 2022",6.91,6.95,6.78,6.81,"1,128,500"

BOP,"Apr 26, 2022",6.88,6.88,6.65,6.71,"1,821,000"

BOP,"Apr 27, 2022",6.72,6.80,6.68,6.71,"1,443,500"

BOP,"Apr 28, 2022",6.70,6.74,6.61,6.68,"1,576,500"

BOP,"May 6, 2022",6.69,6.72,6.62,6.65,"2,259,500"

BOP,"May 9, 2022",6.79,6.79,6.14,6.18,"7,801,500"

BOP,"May 10, 2022",6.20,6.32,6.18,6.26,"1,093,000"

BOP,"May 11, 2022",6.28,6.32,6.00,6.04,"4,465,500"

BOP,"May 12, 2022",6.05,6.13,5.99,6.04,"2,053,500"

BOP,"May 13, 2022",6.02,6.13,6.01,6.08,"686,500"

BOP,"May 16, 2022",6.05,6.05,5.91,5.93,"1,938,000"

BOP,"May 17, 2022",5.92,5.99,5.88,5.91,"3,787,000"

BOP,"May 18, 2022",5.90,6.00,5.90,5.99,"2,040,500"

