tic,date,open,high,low,close,volume

CLVL,"Jan 3, 2022",16.80,17.38,16.80,17.38,"6,500"

CLVL,"Jan 4, 2022",17.49,18.00,16.08,16.13,"694,500"

CLVL,"Jan 5, 2022",16.01,17.29,16.00,16.70,"396,000"

CLVL,"Jan 6, 2022",16.50,16.75,16.02,16.09,"25,000"

CLVL,"Jan 7, 2022",16.30,16.64,16.00,16.02,"24,000"

CLVL,"Jan 10, 2022",16.24,16.88,15.95,16.28,"174,000"

CLVL,"Jan 11, 2022",16.20,16.99,16.11,16.12,"71,000"

CLVL,"Jan 12, 2022",16.06,16.07,15.06,15.29,"132,500"

CLVL,"Jan 13, 2022",15.45,15.49,14.16,14.25,"71,000"

CLVL,"Jan 14, 2022",14.49,14.99,14.15,14.30,"47,000"

CLVL,"Jan 17, 2022",14.30,14.30,14.30,14.30,"1,000"

CLVL,"Jan 18, 2022",14.30,14.75,14.20,14.30,"8,000"

CLVL,"Jan 19, 2022",14.02,14.30,13.25,13.40,"50,500"

CLVL,"Jan 20, 2022",13.05,13.63,13.00,13.48,"26,500"

CLVL,"Jan 21, 2022",13.01,14.24,13.01,13.82,"24,500"

CLVL,"Jan 24, 2022",13.73,13.80,13.55,13.80,"10,500"

CLVL,"Jan 25, 2022",13.60,13.80,13.41,13.70,"4,000"

CLVL,"Jan 26, 2022",13.41,13.70,13.20,13.42,"5,500"

CLVL,"Jan 27, 2022",13.20,13.46,12.78,13.18,"14,500"

CLVL,"Jan 28, 2022",13.02,14.17,13.02,13.31,"24,000"

CLVL,"Jan 31, 2022",13.50,14.31,13.50,14.15,"58,500"

CLVL,"Feb 1, 2022",14.20,14.30,14.00,14.00,"6,000"

CLVL,"Feb 2, 2022",14.10,15.05,14.00,14.25,"312,500"

CLVL,"Feb 3, 2022",14.48,14.48,13.86,14.00,"18,500"

CLVL,"Feb 4, 2022",13.61,13.95,13.61,13.80,"7,500"

CLVL,"Feb 7, 2022",13.55,13.80,13.55,13.80,"6,000"

CLVL,"Feb 8, 2022",13.60,13.65,13.50,13.51,"7,500"

CLVL,"Feb 9, 2022",13.25,13.98,13.25,13.62,"64,500"

CLVL,"Feb 10, 2022",13.26,14.64,13.26,14.29,"48,500"

CLVL,"Feb 11, 2022",14.50,15.00,14.30,14.95,"36,000"

CLVL,"Feb 14, 2022",14.33,14.33,13.83,13.83,"31,500"

CLVL,"Feb 15, 2022",13.86,13.88,13.86,13.88,"4,500"

CLVL,"Feb 16, 2022",13.67,13.95,13.65,13.77,"13,500"

CLVL,"Feb 17, 2022",13.60,14.20,13.60,13.90,"9,000"

CLVL,"Feb 21, 2022",13.80,13.80,13.80,13.80,"2,000"

CLVL,"Feb 22, 2022",13.51,13.51,12.77,13.20,"14,500"

CLVL,"Feb 23, 2022",12.72,12.72,12.53,12.53,"1,000"

CLVL,"Feb 24, 2022",12.01,12.17,11.53,11.53,"144,500"

CLVL,"Feb 25, 2022",11.57,11.57,10.64,10.82,"25,000"

CLVL,"Feb 28, 2022",10.50,11.60,10.50,11.12,"12,500"

CLVL,"Mar 1, 2022",10.71,11.92,10.71,11.44,"25,500"

CLVL,"Mar 2, 2022",10.62,11.20,10.62,11.20,"3,000"

CLVL,"Mar 3, 2022",0.00,11.20,11.20,11.20,"4,000"

CLVL,"Mar 4, 2022",0.00,11.20,11.20,11.20,"2,000"

CLVL,"Mar 7, 2022",11.01,11.01,10.22,10.26,"21,000"

CLVL,"Mar 8, 2022",10.70,10.75,10.70,10.75,"7,000"

CLVL,"Mar 9, 2022",10.20,10.50,10.20,10.50,"8,000"

CLVL,"Mar 10, 2022",10.15,10.50,10.15,10.50,"8,000"

CLVL,"Mar 14, 2022",10.15,10.30,10.10,10.30,"6,000"

CLVL,"Mar 15, 2022",10.05,10.25,10.01,10.25,"10,000"

CLVL,"Mar 16, 2022",10.79,10.79,10.60,10.65,"4,500"

CLVL,"Mar 17, 2022",10.55,10.55,10.10,10.11,"9,500"

CLVL,"Mar 18, 2022",10.55,10.65,10.39,10.39,"1,500"

CLVL,"Mar 21, 2022",10.70,10.75,9.75,10.16,"5,000"

CLVL,"Mar 22, 2022",10.15,11.16,10.15,11.16,"21,500"

CLVL,"Mar 24, 2022",11.40,12.16,11.40,12.16,"13,000"

CLVL,"Mar 25, 2022",13.13,13.16,13.00,13.16,"94,000"

CLVL,"Mar 28, 2022",13.49,13.49,12.16,12.92,"60,500"

CLVL,"Mar 29, 2022",13.00,13.00,12.90,12.90,"1,000"

CLVL,"Mar 30, 2022",12.55,13.90,12.55,13.06,"54,500"

CLVL,"Mar 31, 2022",13.00,13.39,12.76,13.00,"14,500"

CLVL,"Apr 1, 2022",12.98,13.45,12.98,13.26,"9,000"

CLVL,"Apr 4, 2022",12.30,12.70,12.30,12.70,"15,500"

CLVL,"Apr 5, 2022",12.70,12.70,12.70,12.70,"2,000"

CLVL,"Apr 7, 2022",0.00,12.70,12.70,12.70,"1,000"

CLVL,"Apr 8, 2022",12.20,12.21,12.17,12.19,"2,000"

CLVL,"Apr 11, 2022",12.70,12.70,12.25,12.58,"13,500"

CLVL,"Apr 12, 2022",12.60,13.58,11.91,12.93,"81,500"

CLVL,"Apr 13, 2022",12.90,13.80,12.60,12.65,"33,000"

CLVL,"Apr 14, 2022",13.00,13.00,12.50,12.93,"12,500"

CLVL,"Apr 15, 2022",12.99,12.99,12.50,12.57,"17,500"

CLVL,"Apr 19, 2022",12.50,12.50,12.26,12.26,"5,000"

CLVL,"Apr 20, 2022",12.00,12.25,12.00,12.04,"10,500"

CLVL,"Apr 21, 2022",12.00,12.60,11.84,12.09,"9,500"

CLVL,"Apr 22, 2022",12.69,13.09,12.02,12.80,"73,000"

CLVL,"Apr 25, 2022",13.45,13.45,13.00,13.00,"7,500"

CLVL,"Apr 26, 2022",13.45,13.98,12.01,12.99,"34,500"

CLVL,"Apr 27, 2022",12.99,13.19,12.99,13.19,"3,000"

CLVL,"Apr 28, 2022",12.80,14.19,12.80,14.16,"120,500"

CLVL,"May 6, 2022",15.22,15.22,14.30,14.46,"252,000"

CLVL,"May 9, 2022",14.50,14.50,13.38,13.38,"14,000"

CLVL,"May 10, 2022",12.76,13.74,12.38,13.42,"50,500"

CLVL,"May 11, 2022",13.68,13.70,12.42,12.42,"28,000"

CLVL,"May 12, 2022",12.00,12.80,12.00,12.74,"60,000"

CLVL,"May 13, 2022",13.39,13.39,12.74,13.20,"22,500"

CLVL,"May 16, 2022",12.20,13.20,12.20,12.50,"7,500"

CLVL,"May 17, 2022",12.55,12.55,12.55,12.55,500

CLVL,"May 18, 2022",12.96,13.55,12.51,13.26,"89,500"

CLVL,"May 19, 2022",13.29,13.29,13.29,13.29,500

CLVL,"May 20, 2022",13.45,14.07,12.80,12.80,"2,000"

