tic,date,open,high,low,close,volume

DCL,"Jan 3, 2022",7.45,7.79,7.45,7.65,"614,500"

DCL,"Jan 4, 2022",7.64,7.94,7.60,7.79,"2,104,000"

DCL,"Jan 5, 2022",7.94,7.94,7.64,7.69,"436,000"

DCL,"Jan 6, 2022",7.56,7.57,7.25,7.30,"755,000"

DCL,"Jan 7, 2022",7.40,7.47,7.25,7.34,"183,000"

DCL,"Jan 10, 2022",7.31,7.57,7.30,7.53,"417,500"

DCL,"Jan 11, 2022",7.58,7.65,7.46,7.62,"185,000"

DCL,"Jan 12, 2022",7.70,7.91,7.69,7.74,"1,256,000"

DCL,"Jan 13, 2022",7.80,7.80,7.65,7.75,"143,000"

DCL,"Jan 14, 2022",7.74,7.75,7.63,7.66,"114,500"

DCL,"Jan 17, 2022",7.56,7.56,7.45,7.50,"108,500"

DCL,"Jan 18, 2022",7.50,7.60,7.15,7.32,"847,000"

DCL,"Jan 19, 2022",7.34,7.39,7.03,7.07,"586,500"

DCL,"Jan 20, 2022",7.08,7.30,7.01,7.25,"271,000"

DCL,"Jan 21, 2022",7.17,7.30,7.03,7.23,"159,000"

DCL,"Jan 24, 2022",7.12,7.29,7.03,7.08,"212,000"

DCL,"Jan 25, 2022",7.15,7.40,7.15,7.26,"605,000"

DCL,"Jan 26, 2022",7.25,7.30,7.15,7.27,"104,000"

DCL,"Jan 27, 2022",7.30,7.33,7.14,7.22,"275,500"

DCL,"Jan 28, 2022",7.21,7.32,7.10,7.16,"633,000"

DCL,"Jan 31, 2022",7.15,7.55,7.11,7.44,"1,100,500"

DCL,"Feb 1, 2022",7.50,7.65,7.45,7.50,"982,000"

DCL,"Feb 2, 2022",7.57,7.75,7.52,7.61,"623,000"

DCL,"Feb 3, 2022",7.62,7.84,7.51,7.58,"656,000"

DCL,"Feb 4, 2022",7.69,7.69,7.40,7.42,"339,500"

DCL,"Feb 7, 2022",7.50,7.50,7.35,7.37,"256,000"

DCL,"Feb 8, 2022",7.40,7.45,7.35,7.43,"174,000"

DCL,"Feb 9, 2022",7.50,7.60,7.40,7.48,"269,500"

DCL,"Feb 10, 2022",7.40,7.55,7.37,7.39,"93,000"

DCL,"Feb 11, 2022",7.32,7.40,7.20,7.27,"236,000"

DCL,"Feb 14, 2022",7.21,7.30,7.14,7.21,"261,500"

DCL,"Feb 15, 2022",7.21,7.34,7.16,7.24,"119,500"

DCL,"Feb 16, 2022",7.30,7.30,7.10,7.15,"74,000"

DCL,"Feb 17, 2022",7.15,7.39,7.10,7.29,"201,500"

DCL,"Feb 18, 2022",7.35,7.39,7.20,7.27,"103,500"

DCL,"Feb 21, 2022",7.12,7.24,7.01,7.05,"117,500"

