tic,date,open,high,low,close,volume

DGKC,"Jan 3, 2022",82.50,84.20,82.50,83.82,"752,995"

DGKC,"Jan 4, 2022",84.50,85.49,84.20,84.89,"1,591,233"

DGKC,"Jan 5, 2022",84.51,84.51,83.11,83.65,"543,717"

DGKC,"Jan 6, 2022",83.10,83.10,80.70,81.03,"637,225"

DGKC,"Jan 7, 2022",80.50,81.50,80.10,80.92,"216,836"

DGKC,"Jan 10, 2022",81.00,83.45,80.50,82.13,"947,613"

DGKC,"Jan 11, 2022",82.98,83.10,81.15,81.99,"444,198"

DGKC,"Jan 12, 2022",82.76,83.55,81.40,81.69,"1,096,743"

DGKC,"Jan 13, 2022",81.51,82.01,80.60,81.07,"327,519"

DGKC,"Jan 14, 2022",82.00,82.00,79.70,79.99,"518,475"

DGKC,"Jan 17, 2022",79.75,80.70,78.50,79.52,"500,071"

DGKC,"Jan 18, 2022",79.52,79.65,78.51,78.62,"375,554"

DGKC,"Jan 19, 2022",79.24,79.24,74.99,75.46,"1,476,180"

DGKC,"Jan 20, 2022",75.10,78.20,74.54,77.55,"916,581"

DGKC,"Jan 21, 2022",77.32,77.90,76.61,77.01,"321,746"

DGKC,"Jan 24, 2022",77.25,77.25,75.10,76.40,"226,962"

DGKC,"Jan 25, 2022",77.00,78.60,76.91,77.27,"922,670"

DGKC,"Jan 26, 2022",77.01,77.49,75.50,76.70,"341,763"

DGKC,"Jan 27, 2022",76.79,77.20,76.00,76.38,"265,010"

DGKC,"Jan 28, 2022",77.50,77.50,75.75,75.98,"572,078"

DGKC,"Jan 31, 2022",76.90,77.25,76.20,76.92,"710,749"

DGKC,"Feb 1, 2022",77.01,78.50,77.01,77.74,"1,223,308"

DGKC,"Feb 2, 2022",78.00,80.75,76.52,79.91,"2,832,391"

DGKC,"Feb 3, 2022",81.25,83.00,79.70,80.06,"4,323,297"

DGKC,"Feb 4, 2022",80.39,80.39,78.90,79.65,"336,936"

DGKC,"Feb 7, 2022",79.30,80.30,77.76,77.93,"707,795"

DGKC,"Feb 8, 2022",77.11,78.19,77.11,78.00,"577,866"

DGKC,"Feb 9, 2022",78.14,79.00,78.00,78.21,"663,238"

DGKC,"Feb 10, 2022",78.50,78.98,77.29,77.41,"430,301"

DGKC,"Feb 11, 2022",77.98,78.00,76.46,76.58,"430,492"

DGKC,"Feb 14, 2022",77.00,77.00,75.20,76.04,"612,488"

