tic,date,open,high,low,close,volume

EFUG,"Jan 3, 2022",105.00,105.00,104.10,104.10,"1,300"

EFUG,"Jan 4, 2022",105.50,105.50,104.50,104.80,"1,000"

EFUG,"Jan 5, 2022",109.99,109.99,104.80,104.80,500

EFUG,"Jan 10, 2022",106.01,106.01,105.00,105.00,"1,200"

EFUG,"Jan 11, 2022",107.00,107.00,105.01,105.01,600

EFUG,"Jan 12, 2022",105.00,108.00,105.00,106.50,400

EFUG,"Jan 14, 2022",106.50,106.50,106.50,106.50,300

EFUG,"Jan 19, 2022",0.00,106.50,106.50,106.50,"1,700"

EFUG,"Jan 20, 2022",105.00,105.00,105.00,105.00,"16,000"

EFUG,"Jan 21, 2022",104.20,105.00,103.00,104.00,600

EFUG,"Jan 24, 2022",0.00,104.00,104.00,104.00,"19,400"

EFUG,"Jan 25, 2022",102.06,102.06,102.00,102.00,"2,000"

EFUG,"Jan 26, 2022",102.00,103.00,102.00,102.00,"50,100"

EFUG,"Jan 27, 2022",105.00,105.00,102.00,102.25,"42,700"

EFUG,"Jan 31, 2022",102.00,107.99,102.00,106.63,"41,900"

EFUG,"Feb 2, 2022",104.20,109.68,104.20,108.93,"1,400"

EFUG,"Feb 4, 2022",105.00,108.00,104.03,105.02,900

EFUG,"Feb 7, 2022",104.10,104.99,104.01,104.34,"1,900"

EFUG,"Feb 8, 2022",104.00,104.00,103.00,103.15,"5,900"

EFUG,"Feb 9, 2022",102.50,104.99,102.50,104.99,800

EFUG,"Feb 11, 2022",102.40,104.99,102.40,103.21,800

EFUG,"Feb 15, 2022",105.00,105.00,105.00,105.00,500

EFUG,"Feb 17, 2022",102.50,103.00,102.50,102.70,"2,600"

EFUG,"Feb 21, 2022",103.00,103.30,103.00,103.04,"1,700"

EFUG,"Feb 22, 2022",104.00,104.00,104.00,103.04,100

EFUG,"Feb 23, 2022",102.02,105.55,102.00,102.00,"2,200"

EFUG,"Feb 24, 2022",102.00,102.50,102.00,102.50,"4,700"

EFUG,"Feb 28, 2022",102.50,102.50,102.50,102.50,400

EFUG,"Mar 1, 2022",102.50,102.50,102.01,102.13,"1,500"

EFUG,"Mar 2, 2022",102.50,102.99,102.00,102.26,"46,200"

EFUG,"Mar 3, 2022",102.01,103.36,102.00,102.33,"35,200"

EFUG,"Mar 7, 2022",101.50,101.50,101.25,101.25,"1,000"

EFUG,"Mar 10, 2022",0.00,0.00,0.00,101.63,0

EFUG,"Mar 14, 2022",105.00,105.00,105.00,101.63,100

EFUG,"Mar 16, 2022",104.99,105.00,104.99,101.63,200

EFUG,"Mar 17, 2022",103.00,103.00,103.00,103.00,300

EFUG,"Mar 21, 2022",103.50,103.98,103.00,103.20,"11,600"

EFUG,"Mar 22, 2022",102.00,98.02,97.70,98.02,"168,500"

EFUG,"Mar 25, 2022",101.99,101.99,100.00,100.25,500

EFUG,"Mar 28, 2022",99.00,99.00,99.00,100.25,100

EFUG,"Mar 29, 2022",101.95,101.95,101.95,100.25,100

EFUG,"Mar 30, 2022",100.00,100.00,100.00,100.25,100

EFUG,"Mar 31, 2022",98.05,101.90,98.04,101.90,"1,300"

EFUG,"Apr 1, 2022",100.00,100.00,100.00,100.00,"4,200"

EFUG,"Apr 4, 2022",100.00,100.00,100.00,100.00,500

EFUG,"Apr 5, 2022",100.00,100.00,100.00,100.00,"2,000"

EFUG,"Apr 6, 2022",100.00,100.00,100.00,100.00,"25,500"

EFUG,"Apr 11, 2022",100.00,100.00,100.00,100.00,600

EFUG,"Apr 12, 2022",100.01,100.01,100.00,100.00,600

EFUG,"Apr 13, 2022",101.00,101.00,101.00,100.00,100

EFUG,"Apr 19, 2022",103.99,103.99,103.99,100.00,100

EFUG,"Apr 20, 2022",105.00,107.00,105.00,106.70,"1,000"

EFUG,"Apr 22, 2022",103.79,104.50,103.50,103.75,500

EFUG,"Apr 25, 2022",105.00,105.00,105.00,105.00,500

EFUG,"Apr 26, 2022",102.99,102.99,102.99,105.00,200

EFUG,"Apr 28, 2022",102.01,105.00,100.00,104.66,"17,500"

EFUG,"May 11, 2022",100.01,103.16,100.00,100.00,600

EFUG,"May 12, 2022",100.00,100.00,100.00,100.00,"3,000"

EFUG,"May 13, 2022",100.00,101.50,100.00,100.00,"3,800"

EFUG,"May 16, 2022",100.00,100.00,100.00,100.00,"25,000"

EFUG,"May 17, 2022",100.00,100.00,100.00,100.00,"69,000"

EFUG,"May 19, 2022",100.00,100.00,100.00,100.00,"4,300"

