tic,date,open,high,low,close,volume

EFUL,"Jan 3, 2022",204.01,204.01,194.87,195.17,"6,200"

EFUL,"Jan 4, 2022",194.50,195.00,193.00,193.00,"2,800"

EFUL,"Jan 5, 2022",192.50,192.50,191.00,191.09,"1,400"

EFUL,"Jan 6, 2022",194.99,197.00,194.99,197.00,"2,800"

EFUL,"Jan 7, 2022",192.50,192.50,192.01,192.02,400

EFUL,"Jan 10, 2022",191.00,191.00,191.00,191.00,200

EFUL,"Jan 11, 2022",191.00,191.00,190.00,190.00,"1,100"

EFUL,"Jan 12, 2022",190.00,190.00,190.00,190.00,600

EFUL,"Jan 13, 2022",193.99,193.99,185.06,185.06,"1,200"

EFUL,"Jan 14, 2022",189.99,193.99,189.99,191.99,300

EFUL,"Jan 20, 2022",190.01,190.01,190.01,191.99,100

EFUL,"Jan 21, 2022",188.01,191.99,188.01,191.99,"167,100"

EFUL,"Jan 26, 2022",186.50,186.50,186.50,191.99,100

EFUL,"Feb 1, 2022",186.25,188.00,185.00,188.00,"6,000"

EFUL,"Feb 3, 2022",189.80,189.99,189.80,189.82,"1,200"

EFUL,"Feb 4, 2022",189.00,189.00,189.00,189.00,"1,000"

EFUL,"Feb 7, 2022",189.00,189.00,189.00,189.00,"1,400"

EFUL,"Feb 8, 2022",189.50,189.50,188.00,189.36,"4,200"

EFUL,"Feb 9, 2022",187.10,187.10,186.00,186.01,"1,600"

EFUL,"Feb 10, 2022",186.00,186.00,186.00,186.00,300

EFUL,"Feb 15, 2022",188.00,188.00,188.00,186.00,100

EFUL,"Feb 16, 2022",186.00,189.00,186.00,186.08,"2,800"

EFUL,"Feb 17, 2022",185.00,186.00,185.00,185.50,"7,900"

EFUL,"Feb 18, 2022",188.00,188.00,185.50,185.50,"3,600"

EFUL,"Feb 21, 2022",185.50,185.50,185.50,185.50,"3,700"

EFUL,"Feb 22, 2022",184.02,185.50,180.00,183.49,"7,200"

EFUL,"Feb 23, 2022",181.03,183.90,181.03,183.90,"1,500"

EFUL,"Feb 24, 2022",181.10,185.99,181.10,185.45,"2,600"

EFUL,"Mar 2, 2022",182.05,182.05,182.05,185.45,100

EFUL,"Mar 4, 2022",182.01,182.01,182.01,185.45,100

EFUL,"Mar 8, 2022",182.01,182.01,180.00,181.28,"2,500"

EFUL,"Mar 9, 2022",183.99,183.99,183.99,181.28,100

EFUL,"Mar 14, 2022",185.99,185.99,185.99,181.28,100

EFUL,"Mar 16, 2022",184.60,185.50,184.60,185.05,200

EFUL,"Mar 17, 2022",185.10,188.01,185.01,187.50,"3,900"

EFUL,"Mar 18, 2022",187.00,189.99,187.00,187.00,"1,400"

EFUL,"Mar 21, 2022",189.50,191.90,188.00,191.63,"4,500"

EFUL,"Mar 22, 2022",184.90,184.90,181.13,184.90,500

EFUL,"Mar 24, 2022",185.99,185.99,184.00,184.00,800

EFUL,"Mar 25, 2022",186.00,186.00,185.00,185.99,"2,700"

EFUL,"Mar 28, 2022",184.50,186.96,184.50,185.00,"3,200"

EFUL,"Mar 29, 2022",186.80,196.00,186.80,194.99,"10,000"

EFUL,"Mar 30, 2022",190.02,203.00,190.00,198.86,"64,000"

EFUL,"Mar 31, 2022",199.90,207.50,198.01,204.81,"154,100"

EFUL,"Apr 1, 2022",200.01,201.99,198.01,200.18,"3,200"

EFUL,"Apr 4, 2022",198.01,200.00,190.00,190.29,"1,600"

EFUL,"Apr 11, 2022",190.01,190.01,190.00,190.00,"1,000"

EFUL,"Apr 12, 2022",188.01,190.00,188.00,189.00,300

EFUL,"Apr 13, 2022",191.99,191.99,191.99,189.00,"1,100"

EFUL,"Apr 14, 2022",192.00,192.00,192.00,189.00,100

EFUL,"Apr 21, 2022",189.00,189.99,185.00,188.00,"1,500"

EFUL,"Apr 22, 2022",0.00,188.00,188.00,188.00,200

EFUL,"Apr 26, 2022",188.00,188.00,188.00,188.00,200

EFUL,"Apr 27, 2022",190.00,190.00,190.00,190.00,800

EFUL,"Apr 28, 2022",187.00,187.00,185.00,185.27,"3,500"

EFUL,"May 6, 2022",189.99,189.99,189.99,185.27,100

EFUL,"May 9, 2022",191.99,191.99,185.00,185.48,"4,400"

EFUL,"May 10, 2022",189.99,189.99,189.95,189.95,"2,200"

EFUL,"May 11, 2022",187.00,188.45,187.00,188.45,100

EFUL,"May 12, 2022",186.01,186.01,185.00,185.50,300

EFUL,"May 13, 2022",186.50,189.99,183.00,184.77,"23,500"

EFUL,"May 16, 2022",186.89,186.89,184.77,184.77,600

EFUL,"May 18, 2022",185.20,185.20,185.20,184.77,100

