tic,date,open,high,low,close,volume
ENGRO,"Jan 3, 2022",272.00,278.00,271.26,276.38,"209,258"
ENGRO,"Jan 4, 2022",276.38,278.78,274.95,275.31,"91,029"
ENGRO,"Jan 5, 2022",276.00,276.00,273.60,275.11,"72,178"
ENGRO,"Jan 6, 2022",275.00,275.00,273.00,273.60,"90,590"
ENGRO,"Jan 7, 2022",274.80,278.49,272.40,276.35,"381,895"
ENGRO,"Jan 10, 2022",275.02,277.81,273.51,274.97,"223,070"
ENGRO,"Jan 11, 2022",274.99,275.00,270.12,272.04,"298,219"
ENGRO,"Jan 12, 2022",272.00,274.00,271.20,271.96,"175,780"
ENGRO,"Jan 13, 2022",272.95,273.73,270.40,271.25,"162,092"
ENGRO,"Jan 14, 2022",271.51,273.10,271.25,272.03,"237,969"
ENGRO,"Jan 17, 2022",272.92,272.92,271.01,272.24,"77,057"
ENGRO,"Jan 18, 2022",273.50,275.75,271.40,275.20,"514,713"
ENGRO,"Jan 19, 2022",275.20,277.40,271.75,272.27,"319,849"
ENGRO,"Jan 20, 2022",272.66,273.79,270.00,270.82,"202,166"
ENGRO,"Jan 21, 2022",272.39,272.40,271.01,271.73,"166,304"
ENGRO,"Jan 24, 2022",272.93,273.90,270.05,273.05,"224,597"
ENGRO,"Jan 25, 2022",273.50,273.95,270.14,270.52,"254,174"
ENGRO,"Jan 26, 2022",272.72,272.72,270.01,271.26,"213,760"
ENGRO,"Jan 27, 2022",271.02,272.70,270.50,271.74,"132,707"
ENGRO,"Jan 28, 2022",272.90,272.90,270.70,271.10,"146,537"
ENGRO,"Jan 31, 2022",272.00,272.60,270.52,272.24,"116,436"
ENGRO,"Feb 1, 2022",272.24,273.60,270.56,273.44,"90,939"
ENGRO,"Feb 2, 2022",271.71,275.50,271.71,275.00,"112,031"
ENGRO,"Feb 3, 2022",276.99,278.00,273.26,274.51,"144,040"
ENGRO,"Feb 4, 2022",275.44,278.37,273.00,273.40,"288,339"
ENGRO,"Feb 7, 2022",274.65,275.77,274.00,275.43,"118,573"
ENGRO,"Feb 8, 2022",275.51,284.81,274.25,284.10,"1,057,239"
ENGRO,"Feb 9, 2022",285.55,291.70,285.55,290.38,"1,077,186"
ENGRO,"Feb 10, 2022",288.01,290.80,286.01,286.63,"560,291"
ENGRO,"Feb 11, 2022",287.75,288.18,283.61,284.59,"270,783"
ENGRO,"Feb 14, 2022",284.00,284.00,278.35,281.40,"301,294"
ENGRO,"Feb 15, 2022",281.10,284.90,280.51,284.26,"176,441"
ENGRO,"Feb 16, 2022",284.90,286.99,281.72,285.65,"234,054"
ENGRO,"Feb 17, 2022",277.00,278.49,273.10,274.97,"813,770"
ENGRO,"Feb 18, 2022",275.00,276.94,274.00,276.48,"317,531"
ENGRO,"Feb 21, 2022",276.51,277.70,275.02,276.45,"131,312"
ENGRO,"Feb 22, 2022",276.00,276.27,270.70,273.49,"613,646"
ENGRO,"Feb 23, 2022",275.89,275.89,271.00,272.18,"347,754"
ENGRO,"Feb 24, 2022",270.00,272.00,264.50,265.37,"573,344"
ENGRO,"Feb 25, 2022",268.50,269.90,265.00,268.25,"209,657"
ENGRO,"Feb 28, 2022",269.95,274.00,266.50,272.94,"360,685"
ENGRO,"Mar 1, 2022",275.01,275.25,272.50,273.67,"163,356"
ENGRO,"Mar 2, 2022",273.67,273.67,267.00,268.28,"395,480"
ENGRO,"Mar 3, 2022",268.23,270.00,266.50,269.91,"181,846"
ENGRO,"Mar 4, 2022",269.00,275.00,267.67,272.47,"283,598"
ENGRO,"Mar 7, 2022",272.01,272.01,265.10,267.24,"390,623"
ENGRO,"Mar 8, 2022",265.60,269.99,265.10,266.03,"354,688"
ENGRO,"Mar 9, 2022",264.10,272.00,264.10,269.02,"639,095"
ENGRO,"Mar 10, 2022",271.81,271.81,268.90,270.09,"448,214"
ENGRO,"Mar 11, 2022",271.81,271.90,267.03,268.73,"270,403"
ENGRO,"Mar 14, 2022",266.10,271.00,266.10,268.06,"200,380"
ENGRO,"Mar 15, 2022",270.45,270.45,267.25,269.03,"215,961"
ENGRO,"Mar 16, 2022",269.00,269.44,267.00,267.25,"75,727"
ENGRO,"Mar 17, 2022",269.00,269.00,266.00,266.43,"72,845"
ENGRO,"Mar 18, 2022",266.00,266.10,262.15,263.02,"303,206"
ENGRO,"Mar 21, 2022",266.90,266.90,262.00,262.62,"291,416"
ENGRO,"Mar 22, 2022",261.00,267.01,261.00,265.16,"298,800"
ENGRO,"Mar 24, 2022",267.00,267.00,262.40,263.99,"200,162"
ENGRO,"Mar 25, 2022",265.00,265.00,263.00,263.75,"167,801"
ENGRO,"Mar 28, 2022",266.00,266.00,262.00,262.77,"298,767"
ENGRO,"Mar 29, 2022",263.05,264.75,262.52,262.85,"296,020"
ENGRO,"Mar 30, 2022",264.25,265.32,262.91,264.14,"210,019"
ENGRO,"Mar 31, 2022",264.20,268.15,264.15,267.60,"289,508"
ENGRO,"Apr 1, 2022",268.75,272.50,265.05,271.05,"301,284"
ENGRO,"Apr 4, 2022",268.51,268.51,264.00,266.13,"186,662"
ENGRO,"Apr 5, 2022",265.10,268.78,265.00,265.82,"222,804"
ENGRO,"Apr 6, 2022",266.00,272.80,265.05,271.89,"469,688"
ENGRO,"Apr 7, 2022",274.49,277.00,269.50,269.98,"303,149"
ENGRO,"Apr 8, 2022",270.01,273.00,270.01,272.05,"569,403"
ENGRO,"Apr 11, 2022",276.10,281.45,276.10,279.65,"1,269,732"
ENGRO,"Apr 12, 2022",279.62,280.05,277.00,278.96,"834,773"
ENGRO,"Apr 13, 2022",279.00,281.65,278.00,279.82,"349,392"
ENGRO,"Apr 14, 2022",280.50,289.99,279.00,287.92,"939,278"
ENGRO,"Apr 15, 2022",288.60,295.00,288.00,291.58,"918,177"
ENGRO,"Apr 18, 2022",290.35,294.50,288.55,289.32,"553,334"
ENGRO,"Apr 19, 2022",291.90,297.84,290.50,296.23,"1,226,658"
ENGRO,"Apr 20, 2022",296.00,298.40,294.00,294.77,"238,668"
ENGRO,"Apr 21, 2022",294.99,297.00,285.00,286.62,"1,128,309"
ENGRO,"Apr 22, 2022",287.20,288.94,284.00,284.69,"247,484"
ENGRO,"Apr 25, 2022",286.04,291.89,283.01,289.58,"1,095,354"
ENGRO,"Apr 26, 2022",289.99,296.50,289.51,290.76,"729,362"
ENGRO,"Apr 27, 2022",278.11,282.00,278.00,278.13,"391,043"
ENGRO,"Apr 28, 2022",278.00,279.63,273.00,277.75,"482,627"
ENGRO,"May 6, 2022",278.85,278.85,272.25,275.18,"133,979"
ENGRO,"May 9, 2022",275.01,276.40,268.82,269.92,"726,833"
ENGRO,"May 10, 2022",272.49,273.00,270.00,272.31,"278,870"
ENGRO,"May 11, 2022",273.00,273.00,267.11,269.90,"397,897"
ENGRO,"May 12, 2022",272.46,272.46,266.00,268.00,"519,244"
ENGRO,"May 13, 2022",269.98,270.99,267.00,270.01,"324,283"
