tic,date,open,high,low,close,volume

FCCL,"Jan 3, 2022",18.45,18.75,18.23,18.60,"2,954,500"

FCCL,"Jan 4, 2022",18.70,19.21,18.53,19.07,"3,322,500"

FCCL,"Jan 5, 2022",19.00,19.00,18.50,18.61,"1,165,000"

FCCL,"Jan 6, 2022",18.69,18.69,18.20,18.23,"798,500"

FCCL,"Jan 7, 2022",18.20,18.35,18.10,18.22,"894,500"

FCCL,"Jan 10, 2022",18.20,18.76,18.15,18.67,"1,831,000"

FCCL,"Jan 11, 2022",18.89,18.89,18.36,18.47,"847,500"

FCCL,"Jan 12, 2022",18.60,18.80,18.41,18.45,"925,000"

FCCL,"Jan 13, 2022",18.50,18.50,18.28,18.34,"614,500"

FCCL,"Jan 14, 2022",18.40,18.43,17.90,18.11,"884,500"

FCCL,"Jan 17, 2022",18.06,18.37,17.95,18.29,"223,000"

FCCL,"Jan 18, 2022",18.08,18.21,17.75,17.90,"1,914,500"

FCCL,"Jan 19, 2022",18.04,18.04,17.50,17.54,"530,500"

FCCL,"Jan 20, 2022",17.55,17.70,17.20,17.54,"2,577,500"

FCCL,"Jan 21, 2022",17.60,17.74,17.38,17.52,"503,000"

FCCL,"Jan 24, 2022",17.50,17.50,17.20,17.36,"475,000"

FCCL,"Jan 25, 2022",17.40,17.79,17.40,17.58,"2,629,000"

FCCL,"Jan 26, 2022",17.50,17.50,17.27,17.50,"467,500"

FCCL,"Jan 27, 2022",17.64,17.65,17.21,17.26,"1,264,000"

FCCL,"Jan 28, 2022",17.31,17.50,17.23,17.32,"3,322,500"

FCCL,"Jan 31, 2022",17.32,17.50,17.30,17.41,"468,000"

FCCL,"Feb 1, 2022",17.50,18.44,17.50,18.39,"8,131,000"

FCCL,"Feb 2, 2022",18.39,18.67,18.30,18.55,"8,310,000"

FCCL,"Feb 3, 2022",18.60,18.78,18.20,18.23,"4,509,500"

FCCL,"Feb 4, 2022",18.23,18.34,17.91,17.96,"1,891,500"

FCCL,"Feb 7, 2022",18.00,18.10,17.79,17.83,"439,000"

FCCL,"Feb 8, 2022",17.71,17.99,17.52,17.65,"631,000"

FCCL,"Feb 9, 2022",17.65,17.89,17.55,17.67,"1,923,000"

FCCL,"Feb 10, 2022",17.71,17.90,17.53,17.55,"454,500"

FCCL,"Feb 11, 2022",17.70,17.79,17.65,17.70,"279,500"

FCCL,"Feb 14, 2022",17.55,17.95,17.30,17.74,"960,500"

FCCL,"Feb 15, 2022",17.55,17.65,17.30,17.55,"2,387,000"

FCCL,"Feb 16, 2022",17.70,17.70,17.46,17.58,"463,000"

FCCL,"Feb 17, 2022",17.64,17.65,17.31,17.34,"210,500"

FCCL,"Feb 18, 2022",17.40,17.65,17.25,17.59,"438,500"

FCCL,"Feb 21, 2022",17.51,17.63,17.30,17.56,"944,000"

FCCL,"Feb 22, 2022",17.49,17.50,16.99,17.23,"2,174,500"

FCCL,"Feb 23, 2022",17.31,18.10,17.20,18.01,"3,111,500"

FCCL,"Feb 24, 2022",17.50,17.83,17.30,17.50,"9,151,500"

FCCL,"Feb 25, 2022",17.50,17.80,17.20,17.50,"1,867,000"

FCCL,"Feb 28, 2022",17.26,17.75,17.21,17.68,"890,000"

FCCL,"Mar 1, 2022",17.62,17.72,17.27,17.51,"3,059,500"

FCCL,"Mar 2, 2022",17.36,17.36,17.00,17.17,"5,030,000"

FCCL,"Mar 3, 2022",17.04,17.25,16.96,17.11,"8,871,500"

