tic,date,open,high,low,close,volume
HBL,"Jan 3, 2022",117.00,117.90,116.50,117.03,"405,791"
HBL,"Jan 4, 2022",117.10,119.00,117.10,118.03,"916,386"
HBL,"Jan 5, 2022",118.70,118.94,117.00,117.61,"184,922"
HBL,"Jan 6, 2022",117.99,118.70,116.50,116.70,"1,361,906"
HBL,"Jan 7, 2022",117.90,119.50,116.55,118.28,"1,340,981"
HBL,"Jan 10, 2022",119.00,121.23,118.03,120.37,"2,955,003"
HBL,"Jan 11, 2022",120.85,122.50,118.80,122.17,"1,852,575"
HBL,"Jan 12, 2022",122.75,122.85,121.49,121.59,"496,255"
HBL,"Jan 13, 2022",122.00,122.20,121.00,121.50,"143,600"
HBL,"Jan 14, 2022",121.50,124.00,121.50,123.13,"1,138,299"
HBL,"Jan 17, 2022",123.01,123.10,122.00,122.15,"449,851"
HBL,"Jan 18, 2022",122.15,123.00,121.23,122.01,"476,441"
HBL,"Jan 19, 2022",121.30,122.80,121.05,121.57,"768,005"
HBL,"Jan 20, 2022",121.49,122.45,119.70,122.04,"350,340"
HBL,"Jan 21, 2022",122.50,122.50,121.05,122.13,"96,511"
HBL,"Jan 24, 2022",122.25,122.45,121.15,121.44,"220,830"
HBL,"Jan 25, 2022",121.05,122.08,121.00,121.58,"311,993"
HBL,"Jan 26, 2022",121.75,121.75,120.80,121.01,"271,685"
HBL,"Jan 27, 2022",121.65,121.65,120.50,121.01,"403,396"
HBL,"Jan 28, 2022",120.10,121.50,120.10,120.54,"456,985"
HBL,"Jan 31, 2022",120.20,121.70,120.20,121.19,"691,880"
HBL,"Feb 1, 2022",120.55,122.50,120.55,121.68,"376,741"
HBL,"Feb 2, 2022",121.02,128.00,121.00,124.71,"3,470,427"
HBL,"Feb 3, 2022",126.00,126.00,123.45,123.55,"750,312"
HBL,"Feb 4, 2022",123.10,124.90,123.10,123.89,"2,721,987"
HBL,"Feb 7, 2022",124.44,125.00,123.55,123.92,"191,597"
HBL,"Feb 8, 2022",124.40,124.55,123.00,123.58,"1,701,938"
HBL,"Feb 9, 2022",124.15,124.99,123.16,124.22,"1,243,444"
HBL,"Feb 10, 2022",124.22,124.99,122.03,122.33,"1,544,517"
HBL,"Feb 11, 2022",122.80,123.95,121.56,123.23,"1,131,428"
HBL,"Feb 14, 2022",123.23,124.50,122.45,122.60,"532,437"
HBL,"Feb 15, 2022",123.85,123.85,121.60,122.02,"1,420,639"
HBL,"Feb 16, 2022",122.98,122.98,121.11,121.40,"363,293"
HBL,"Feb 17, 2022",121.27,122.44,120.50,121.89,"117,622"
HBL,"Feb 18, 2022",122.00,122.90,121.00,121.93,"318,035"
HBL,"Feb 21, 2022",122.40,122.60,121.50,121.74,"83,287"
HBL,"Feb 22, 2022",122.20,122.20,118.00,121.29,"1,400,159"
HBL,"Feb 23, 2022",121.65,122.00,119.22,121.41,"811,166"
HBL,"Feb 24, 2022",120.00,121.45,115.90,116.44,"1,874,967"
HBL,"Feb 25, 2022",116.01,117.50,116.01,116.32,"1,155,499"
HBL,"Feb 28, 2022",117.41,117.41,115.02,116.17,"1,270,047"
HBL,"Mar 1, 2022",117.98,118.10,116.00,116.30,"748,773"
HBL,"Mar 2, 2022",116.94,116.94,114.81,115.46,"674,871"
HBL,"Mar 3, 2022",117.00,117.00,114.80,115.16,"147,193"
HBL,"Mar 4, 2022",115.00,117.00,115.00,116.27,"849,987"
HBL,"Mar 7, 2022",115.10,115.90,112.26,113.00,"453,555"
HBL,"Mar 8, 2022",116.00,116.00,111.15,112.33,"609,309"
HBL,"Mar 9, 2022",111.00,114.97,111.00,112.29,"1,056,162"
HBL,"Mar 10, 2022",113.90,115.85,112.30,114.04,"1,116,936"
HBL,"Mar 11, 2022",114.00,114.86,113.07,114.13,"325,294"
HBL,"Mar 14, 2022",114.00,114.50,113.06,113.93,"487,685"
HBL,"Mar 15, 2022",114.11,115.50,114.03,115.02,"268,479"
HBL,"Mar 16, 2022",115.00,115.90,113.50,113.90,"280,721"
HBL,"Mar 17, 2022",114.49,114.85,114.00,114.20,"767,312"
HBL,"Mar 18, 2022",113.95,114.45,110.00,110.64,"1,285,603"
HBL,"Mar 21, 2022",109.50,111.00,108.39,110.61,"841,768"
HBL,"Mar 22, 2022",111.34,111.89,109.50,110.05,"669,559"
HBL,"Mar 24, 2022",110.68,112.39,109.52,111.98,"893,817"
HBL,"Mar 25, 2022",112.84,114.00,110.55,113.51,"523,841"
HBL,"Mar 28, 2022",113.69,114.38,111.00,113.70,"378,809"
HBL,"Mar 29, 2022",114.40,115.00,113.11,113.27,"749,914"
HBL,"Mar 30, 2022",113.98,114.50,113.00,113.63,"100,466"
