tic,date,open,high,low,close,volume

HCAR,"Jan 3, 2022",236.78,236.78,232.01,233.24,"43,500"

HCAR,"Jan 4, 2022",234.38,240.99,234.38,238.88,"294,000"

HCAR,"Jan 5, 2022",236.60,244.44,234.40,241.80,"211,500"

HCAR,"Jan 6, 2022",239.99,244.10,224.00,224.88,"997,300"

HCAR,"Jan 7, 2022",223.98,228.75,223.00,226.74,"136,883"

HCAR,"Jan 10, 2022",227.00,229.50,225.75,226.22,"96,107"

HCAR,"Jan 11, 2022",227.23,227.25,225.30,225.75,"60,074"

HCAR,"Jan 12, 2022",227.50,231.13,225.10,225.83,"184,000"

HCAR,"Jan 13, 2022",226.00,226.00,223.00,223.89,"69,999"

HCAR,"Jan 14, 2022",225.10,226.80,223.01,223.63,"36,518"

HCAR,"Jan 17, 2022",225.95,225.95,214.99,221.64,"123,433"

HCAR,"Jan 18, 2022",220.50,223.50,220.22,220.99,"27,398"

HCAR,"Jan 19, 2022",220.11,223.00,211.00,216.24,"149,349"

HCAR,"Jan 20, 2022",213.10,216.00,207.19,213.78,"187,548"

HCAR,"Jan 21, 2022",213.98,217.99,211.01,216.27,"111,426"

HCAR,"Jan 24, 2022",216.00,217.01,213.00,214.74,"43,924"

HCAR,"Jan 25, 2022",217.75,219.90,207.10,209.72,"160,320"

HCAR,"Jan 26, 2022",209.50,209.50,205.00,206.00,"107,203"

HCAR,"Jan 27, 2022",206.49,206.49,204.00,204.74,"24,039"

HCAR,"Jan 28, 2022",206.00,206.00,202.01,203.16,"57,726"

HCAR,"Jan 31, 2022",204.00,206.50,203.16,203.98,"70,361"

HCAR,"Feb 1, 2022",205.10,207.99,204.50,206.66,"95,445"

HCAR,"Feb 2, 2022",208.00,215.00,207.00,213.21,"548,261"

HCAR,"Feb 3, 2022",214.90,218.80,212.23,213.12,"192,940"

HCAR,"Feb 4, 2022",215.50,217.00,210.00,212.13,"151,754"

HCAR,"Feb 7, 2022",212.00,213.00,206.00,206.95,"110,504"

HCAR,"Feb 8, 2022",206.95,210.00,206.00,209.19,"57,872"

HCAR,"Feb 9, 2022",209.89,215.00,208.00,211.90,"173,697"

HCAR,"Feb 10, 2022",212.50,215.00,210.30,212.90,"177,863"

HCAR,"Feb 11, 2022",211.05,228.86,211.05,224.00,"2,050,911"

HCAR,"Feb 14, 2022",221.00,222.87,213.00,214.41,"459,312"

HCAR,"Feb 15, 2022",212.26,219.00,211.00,216.15,"222,626"

HCAR,"Feb 16, 2022",215.05,219.85,214.00,217.97,"283,213"

HCAR,"Feb 17, 2022",216.00,217.00,209.70,212.81,"164,776"

HCAR,"Feb 18, 2022",211.00,214.00,209.20,212.95,"113,272"

HCAR,"Feb 21, 2022",214.50,214.50,210.50,211.67,"99,033"

