tic,date,open,high,low,close,volume

HINO,"Jan 4, 2022",374.50,375.00,362.00,374.99,"2,700"

HINO,"Jan 5, 2022",399.95,399.99,372.02,380.00,900

HINO,"Jan 6, 2022",380.00,385.00,380.00,385.00,500

HINO,"Jan 7, 2022",380.00,385.00,379.95,385.00,500

HINO,"Jan 10, 2022",385.00,389.00,380.00,384.50,"1,300"

HINO,"Jan 11, 2022",384.50,384.50,384.50,384.50,100

HINO,"Jan 13, 2022",365.10,384.50,365.00,377.89,"1,000"

HINO,"Jan 14, 2022",378.00,378.00,377.99,377.99,400

HINO,"Jan 19, 2022",356.00,374.00,356.00,367.00,500

HINO,"Jan 20, 2022",360.00,360.00,360.00,360.00,300

HINO,"Jan 27, 2022",370.00,380.00,358.01,358.01,800

HINO,"Jan 28, 2022",370.00,377.00,370.00,377.00,200

HINO,"Jan 31, 2022",348.75,361.02,348.75,361.02,"1,100"

HINO,"Feb 1, 2022",362.00,365.00,336.11,350.02,800

HINO,"Feb 2, 2022",370.00,370.00,360.00,365.00,"2,400"

HINO,"Feb 3, 2022",365.00,365.20,360.00,360.00,"1,900"

HINO,"Feb 4, 2022",355.11,355.11,355.11,355.11,100

HINO,"Feb 7, 2022",360.00,360.00,360.00,360.00,200

HINO,"Feb 8, 2022",355.00,355.00,355.00,355.00,400

HINO,"Feb 9, 2022",356.00,356.00,356.00,356.00,100

HINO,"Feb 10, 2022",356.00,359.00,351.10,351.10,"1,000"

HINO,"Feb 16, 2022",375.00,375.00,360.00,360.00,"1,100"

HINO,"Feb 18, 2022",355.00,355.00,335.00,341.86,"5,300"

HINO,"Feb 21, 2022",341.86,345.00,327.10,338.83,"3,100"

HINO,"Feb 22, 2022",325.50,336.00,320.05,323.25,"5,800"

HINO,"Feb 23, 2022",337.49,337.49,330.00,333.95,700

HINO,"Feb 24, 2022",330.00,330.00,310.01,312.00,700

HINO,"Feb 25, 2022",305.30,335.00,305.25,331.90,"1,200"

HINO,"Feb 28, 2022",325.10,343.88,312.00,337.15,"4,500"

HINO,"Mar 1, 2022",361.99,361.99,340.00,346.95,600

HINO,"Mar 2, 2022",350.00,350.00,350.00,350.00,200

HINO,"Mar 3, 2022",345.00,345.00,345.00,345.00,100

HINO,"Mar 4, 2022",350.00,350.00,347.00,347.00,200

HINO,"Mar 7, 2022",321.05,321.05,321.05,321.05,100

HINO,"Mar 8, 2022",309.11,334.99,309.11,320.00,700

HINO,"Mar 9, 2022",329.00,330.00,329.00,330.00,500

HINO,"Mar 10, 2022",345.00,354.00,325.00,325.00,"1,000"

HINO,"Mar 11, 2022",345.00,345.00,335.00,335.00,300

HINO,"Mar 14, 2022",320.00,320.01,315.00,315.00,"1,100"

HINO,"Mar 15, 2022",334.99,337.99,334.99,337.00,400

HINO,"Mar 16, 2022",340.00,341.00,337.10,337.10,500

HINO,"Mar 24, 2022",329.10,329.10,329.10,329.10,100

HINO,"Mar 25, 2022",330.00,330.00,330.00,330.00,100

HINO,"Mar 28, 2022",320.00,330.00,320.00,330.00,500

HINO,"Mar 29, 2022",330.00,330.00,330.00,330.00,500

HINO,"Mar 30, 2022",330.00,330.00,320.01,320.01,"1,000"

HINO,"Mar 31, 2022",318.00,330.00,318.00,321.00,"1,300"

HINO,"Apr 1, 2022",321.00,334.00,321.00,330.67,"1,000"

HINO,"Apr 4, 2022",320.00,330.00,320.00,330.00,500

HINO,"Apr 5, 2022",329.00,330.00,324.00,329.00,"1,400"

HINO,"Apr 6, 2022",345.00,345.00,325.00,325.00,400

HINO,"Apr 7, 2022",311.20,320.00,311.20,320.00,200

HINO,"Apr 8, 2022",309.10,309.10,309.10,309.10,100

HINO,"Apr 11, 2022",332.28,332.28,322.00,327.00,"1,700"

HINO,"Apr 12, 2022",333.00,333.00,332.00,332.00,400

HINO,"Apr 13, 2022",340.00,342.00,335.00,335.00,500

HINO,"Apr 14, 2022",350.00,350.00,331.00,335.38,"1,400"

HINO,"Apr 15, 2022",330.00,331.99,320.00,331.99,"6,000"

HINO,"Apr 18, 2022",324.00,324.50,324.00,324.17,600

HINO,"Apr 20, 2022",325.50,325.50,324.75,324.75,"2,400"

HINO,"Apr 21, 2022",324.00,324.00,322.00,322.00,300

HINO,"Apr 22, 2022",322.00,322.51,322.00,322.30,800

HINO,"Apr 25, 2022",322.30,322.30,322.30,322.30,100

HINO,"Apr 27, 2022",327.50,327.50,327.50,327.50,100

HINO,"Apr 28, 2022",320.00,320.00,307.00,313.00,300

HINO,"May 9, 2022",310.00,310.00,302.00,302.00,"1,600"

HINO,"May 10, 2022",302.00,302.00,300.00,302.00,"2,500"

HINO,"May 11, 2022",303.00,303.00,303.00,303.00,100

HINO,"May 12, 2022",280.55,293.00,280.28,287.59,"2,600"

HINO,"May 13, 2022",292.00,292.00,291.00,291.00,"1,600"

HINO,"May 16, 2022",280.50,285.00,280.00,280.00,"1,500"

HINO,"May 18, 2022",280.00,283.15,280.00,283.15,700

HINO,"May 19, 2022",302.00,302.00,287.00,290.00,900

HINO,"May 20, 2022",307.00,307.00,290.00,295.00,500

