tic,date,open,high,low,close,volume

HTL,"Jan 3, 2022",43.50,45.50,43.40,44.70,"636,500"

HTL,"Jan 4, 2022",45.21,48.05,45.00,48.05,"1,745,000"

HTL,"Jan 5, 2022",48.98,49.89,48.50,48.79,"2,371,000"

HTL,"Jan 6, 2022",48.31,48.80,46.20,46.52,"692,000"

HTL,"Jan 7, 2022",46.00,47.45,45.52,46.91,"496,000"

HTL,"Jan 10, 2022",46.51,47.80,46.51,47.32,"365,500"

HTL,"Jan 11, 2022",47.50,48.15,46.50,47.44,"553,500"

HTL,"Jan 12, 2022",47.95,50.99,47.66,50.22,"3,567,500"

HTL,"Jan 13, 2022",49.60,50.29,48.60,49.55,"1,177,000"

HTL,"Jan 14, 2022",50.25,50.50,48.51,48.73,"625,000"

HTL,"Jan 17, 2022",49.00,49.20,46.75,47.55,"853,000"

HTL,"Jan 18, 2022",47.55,48.75,47.40,47.61,"640,500"

HTL,"Jan 19, 2022",47.61,47.87,45.20,45.93,"727,500"

HTL,"Jan 20, 2022",46.50,47.30,44.70,46.99,"901,500"

HTL,"Jan 21, 2022",46.97,48.70,46.60,47.02,"726,000"

HTL,"Jan 24, 2022",46.30,46.69,45.80,46.40,"188,000"

HTL,"Jan 25, 2022",46.70,46.97,45.55,45.65,"379,000"

HTL,"Jan 26, 2022",45.30,47.00,44.75,45.62,"295,000"

HTL,"Jan 27, 2022",46.17,46.40,45.00,45.38,"249,500"

HTL,"Jan 28, 2022",45.50,46.75,45.40,46.13,"469,500"

HTL,"Jan 31, 2022",46.70,46.95,46.10,46.69,"333,500"

HTL,"Feb 1, 2022",46.58,47.47,46.50,46.93,"352,500"

HTL,"Feb 2, 2022",47.20,48.73,47.20,48.11,"839,500"

HTL,"Feb 3, 2022",48.80,49.20,47.80,47.92,"919,000"

HTL,"Feb 4, 2022",47.92,48.90,47.53,48.39,"525,500"

HTL,"Feb 7, 2022",49.00,51.50,48.70,49.54,"2,677,500"

HTL,"Feb 8, 2022",49.06,49.89,48.21,49.20,"703,500"

HTL,"Feb 9, 2022",49.53,50.90,49.50,49.83,"1,217,500"

HTL,"Feb 10, 2022",50.10,50.60,49.01,49.30,"757,000"

HTL,"Feb 11, 2022",49.29,49.50,48.61,48.77,"207,000"

HTL,"Feb 14, 2022",48.61,49.49,46.20,46.76,"611,500"

HTL,"Feb 15, 2022",47.00,48.40,46.51,47.87,"190,000"

HTL,"Feb 16, 2022",48.10,48.50,47.56,47.84,"349,500"

HTL,"Feb 17, 2022",48.00,48.34,47.00,47.27,"154,500"

HTL,"Feb 18, 2022",47.50,47.87,46.50,47.51,"192,000"

HTL,"Feb 21, 2022",47.60,49.50,47.60,47.85,"595,000"

HTL,"Feb 22, 2022",46.75,47.50,45.90,46.20,"589,000"

HTL,"Feb 23, 2022",46.50,47.12,45.75,46.57,"324,000"

HTL,"Feb 24, 2022",45.30,45.30,43.08,43.11,"989,000"

HTL,"Feb 25, 2022",43.75,45.00,43.35,44.63,"327,000"

HTL,"Feb 28, 2022",42.81,44.50,42.75,44.35,"277,500"

HTL,"Mar 1, 2022",45.52,46.00,43.85,44.91,"499,500"

HTL,"Mar 2, 2022",44.25,44.91,43.00,43.69,"343,500"

HTL,"Mar 3, 2022",43.71,43.94,42.86,43.24,"159,000"

HTL,"Mar 4, 2022",43.15,43.85,42.60,42.73,"230,000"

HTL,"Mar 7, 2022",42.40,42.40,40.50,40.76,"423,500"

HTL,"Mar 8, 2022",40.50,40.95,40.00,40.06,"216,500"

HTL,"Mar 9, 2022",40.80,40.80,39.00,39.87,"207,500"

HTL,"Mar 10, 2022",40.56,41.50,40.50,41.08,"203,500"

HTL,"Mar 11, 2022",40.01,40.98,39.52,40.03,"193,500"

HTL,"Mar 14, 2022",39.50,40.46,39.00,39.19,"217,000"

HTL,"Mar 15, 2022",39.50,40.50,39.30,40.35,"291,500"

HTL,"Mar 16, 2022",40.80,41.37,40.50,40.80,"192,000"

HTL,"Mar 17, 2022",41.00,41.20,40.06,40.20,"67,500"

