tic,date,open,high,low,close,volume
LUCK,"Jan 3, 2022",680.00,690.50,679.99,689.09,"157,080"
LUCK,"Jan 4, 2022",689.00,703.00,686.00,701.27,"490,093"
LUCK,"Jan 5, 2022",699.00,699.00,691.60,693.79,"198,156"
LUCK,"Jan 6, 2022",691.80,698.99,685.00,688.28,"772,137"
LUCK,"Jan 7, 2022",690.00,696.00,677.02,688.59,"205,522"
LUCK,"Jan 10, 2022",685.05,698.00,685.05,696.65,"176,422"
LUCK,"Jan 11, 2022",698.00,701.99,688.00,690.03,"226,747"
LUCK,"Jan 12, 2022",692.00,696.00,684.00,685.26,"246,499"
LUCK,"Jan 13, 2022",683.00,694.97,679.50,679.94,"127,106"
LUCK,"Jan 14, 2022",680.00,684.98,674.50,674.92,"58,716"
LUCK,"Jan 17, 2022",670.00,684.90,667.00,682.66,"43,978"
LUCK,"Jan 18, 2022",678.01,689.89,672.55,674.59,"146,842"
LUCK,"Jan 19, 2022",682.00,682.00,655.00,660.16,"168,137"
LUCK,"Jan 20, 2022",665.00,673.99,646.80,664.26,"474,853"
LUCK,"Jan 21, 2022",658.00,674.00,658.00,667.70,"91,261"
LUCK,"Jan 24, 2022",674.85,674.85,661.10,665.22,"63,821"
LUCK,"Jan 25, 2022",671.00,688.00,670.00,684.93,"319,971"
LUCK,"Jan 26, 2022",689.75,695.00,676.50,689.37,"162,324"
LUCK,"Jan 27, 2022",689.00,698.00,687.00,695.19,"304,176"
LUCK,"Jan 28, 2022",695.00,698.89,671.11,680.79,"284,802"
LUCK,"Jan 31, 2022",685.00,690.00,681.00,683.12,"129,657"
LUCK,"Feb 1, 2022",676.50,693.00,676.50,684.38,"165,037"
LUCK,"Feb 2, 2022",684.00,695.00,684.00,693.20,"257,069"
LUCK,"Feb 3, 2022",699.00,704.75,681.01,685.39,"333,203"
LUCK,"Feb 4, 2022",694.00,696.75,681.01,688.73,"271,982"
LUCK,"Feb 7, 2022",693.98,693.98,682.52,683.28,"152,788"
LUCK,"Feb 8, 2022",688.00,689.00,681.33,684.44,"169,934"
LUCK,"Feb 9, 2022",688.00,693.50,685.01,688.11,"248,846"
LUCK,"Feb 10, 2022",690.00,692.50,681.50,683.39,"174,765"
LUCK,"Feb 11, 2022",688.99,694.00,682.10,691.95,"151,653"
LUCK,"Feb 14, 2022",689.98,697.88,678.00,682.34,"216,344"
LUCK,"Feb 15, 2022",675.10,686.90,675.10,680.89,"44,762"
LUCK,"Feb 16, 2022",686.80,686.80,675.01,676.89,"156,345"
LUCK,"Feb 17, 2022",683.80,683.80,672.00,675.52,"25,838"
LUCK,"Feb 18, 2022",680.90,683.95,675.60,681.68,"35,630"
LUCK,"Feb 21, 2022",685.70,685.70,670.50,673.19,"39,623"
LUCK,"Feb 22, 2022",675.70,675.70,650.00,661.83,"217,890"
LUCK,"Feb 23, 2022",668.00,670.00,655.00,665.36,"154,698"
LUCK,"Feb 24, 2022",650.00,653.50,630.11,635.18,"623,015"
LUCK,"Feb 25, 2022",645.00,646.00,630.00,633.51,"256,634"
LUCK,"Feb 28, 2022",640.00,663.00,622.15,648.98,"279,974"
LUCK,"Mar 1, 2022",664.99,664.99,640.00,641.63,"233,330"
LUCK,"Mar 2, 2022",638.00,638.00,616.01,624.87,"465,956"
LUCK,"Mar 3, 2022",623.00,624.00,613.26,616.68,"172,958"
LUCK,"Mar 4, 2022",619.99,626.40,617.00,619.27,"124,666"
LUCK,"Mar 7, 2022",615.61,615.61,573.00,575.19,"1,000,914"
LUCK,"Mar 8, 2022",573.90,579.98,559.00,561.80,"343,539"
LUCK,"Mar 9, 2022",559.99,573.00,545.50,552.60,"834,109"
LUCK,"Mar 10, 2022",561.01,593.00,561.01,590.33,"689,365"
LUCK,"Mar 11, 2022",587.00,593.00,571.50,575.08,"249,060"
LUCK,"Mar 14, 2022",575.00,575.00,564.00,570.48,"114,283"
LUCK,"Mar 15, 2022",573.75,584.40,573.50,583.49,"110,835"
LUCK,"Mar 16, 2022",584.00,602.00,584.00,586.67,"331,888"
LUCK,"Mar 17, 2022",593.98,595.00,583.00,584.58,"115,120"
LUCK,"Mar 18, 2022",576.20,585.00,566.00,567.63,"236,748"
LUCK,"Mar 21, 2022",574.00,582.89,565.00,577.58,"189,401"
LUCK,"Mar 22, 2022",577.58,579.99,570.01,571.99,"138,961"
LUCK,"Mar 24, 2022",576.00,588.00,565.77,585.08,"154,423"
LUCK,"Mar 25, 2022",585.00,599.99,583.00,597.67,"237,374"
LUCK,"Mar 28, 2022",597.00,620.50,587.00,617.71,"486,774"
LUCK,"Mar 29, 2022",623.85,635.00,620.00,629.89,"293,816"
LUCK,"Mar 30, 2022",627.98,644.00,612.10,631.69,"428,413"
LUCK,"Mar 31, 2022",627.00,639.00,627.00,636.35,"237,486"
LUCK,"Apr 1, 2022",636.35,650.00,631.10,643.64,"640,614"
LUCK,"Apr 4, 2022",625.00,625.00,595.37,597.91,"773,433"
LUCK,"Apr 5, 2022",595.50,602.00,582.55,586.04,"586,557"
LUCK,"Apr 6, 2022",590.00,597.00,582.00,584.43,"437,823"
LUCK,"Apr 7, 2022",587.70,588.00,566.12,576.83,"615,200"
LUCK,"Apr 8, 2022",585.00,599.00,581.01,591.84,"355,743"
LUCK,"Apr 11, 2022",619.99,634.00,614.01,626.22,"1,326,877"
LUCK,"Apr 12, 2022",625.00,630.00,618.00,624.38,"410,932"
LUCK,"Apr 13, 2022",622.00,623.00,609.00,611.74,"255,441"
LUCK,"Apr 14, 2022",607.01,616.00,606.15,612.11,"163,772"
LUCK,"Apr 15, 2022",615.00,622.00,608.00,609.61,"134,713"
LUCK,"Apr 18, 2022",600.10,610.00,600.00,602.21,"135,633"
LUCK,"Apr 19, 2022",604.50,611.00,593.00,596.76,"183,573"
LUCK,"Apr 20, 2022",606.99,606.99,587.51,590.52,"111,763"
LUCK,"Apr 21, 2022",587.10,590.00,580.00,586.81,"131,919"
LUCK,"Apr 22, 2022",592.00,592.00,582.15,584.59,"122,829"
LUCK,"Apr 25, 2022",590.01,602.00,583.20,586.02,"248,219"
LUCK,"Apr 26, 2022",587.99,588.00,577.00,578.08,"162,541"
LUCK,"Apr 27, 2022",578.50,584.00,569.88,571.12,"147,723"
LUCK,"Apr 28, 2022",570.00,574.00,558.01,566.77,"375,946"
