tic,date,open,high,low,close,volume

PIAA,"Jan 3, 2022",4.05,4.05,3.95,4.01,"177,000"

PIAA,"Jan 4, 2022",4.03,4.18,3.97,4.08,"887,000"

PIAA,"Jan 5, 2022",4.03,4.54,4.02,4.33,"5,402,000"

PIAA,"Jan 6, 2022",4.44,4.54,4.30,4.33,"3,145,500"

PIAA,"Jan 7, 2022",4.36,4.47,4.31,4.41,"802,000"

PIAA,"Jan 10, 2022",4.30,4.46,4.30,4.34,"932,500"

PIAA,"Jan 11, 2022",4.39,4.55,4.39,4.49,"1,390,500"

PIAA,"Jan 12, 2022",4.50,4.69,4.50,4.57,"3,569,000"

PIAA,"Jan 13, 2022",4.65,4.69,4.50,4.51,"1,349,000"

PIAA,"Jan 14, 2022",4.50,4.58,4.44,4.51,"328,000"

PIAA,"Jan 17, 2022",4.53,4.53,4.25,4.42,"422,500"

PIAA,"Jan 18, 2022",4.40,4.50,4.26,4.31,"1,069,000"

PIAA,"Jan 19, 2022",4.25,4.37,4.05,4.07,"617,500"

PIAA,"Jan 20, 2022",4.15,4.18,3.92,4.05,"1,042,500"

PIAA,"Jan 21, 2022",4.05,4.08,3.97,4.04,"1,228,000"

PIAA,"Jan 24, 2022",4.00,4.04,3.98,4.00,"595,000"

PIAA,"Jan 25, 2022",4.05,4.08,4.00,4.01,"533,000"

PIAA,"Jan 26, 2022",4.08,4.09,3.99,4.00,"276,000"

PIAA,"Jan 27, 2022",4.07,4.07,3.98,4.01,"573,000"

PIAA,"Jan 28, 2022",4.03,4.13,4.00,4.04,"163,000"

PIAA,"Jan 31, 2022",4.10,4.10,4.00,4.03,"383,500"

PIAA,"Feb 1, 2022",4.05,4.30,4.05,4.27,"1,780,500"

PIAA,"Feb 2, 2022",4.34,4.62,4.30,4.42,"5,505,000"

PIAA,"Feb 3, 2022",4.49,4.54,4.29,4.31,"733,500"

PIAA,"Feb 4, 2022",4.35,4.35,4.24,4.26,"122,000"

PIAA,"Feb 7, 2022",4.25,4.35,4.14,4.15,"391,500"

PIAA,"Feb 8, 2022",4.20,4.20,4.13,4.15,"290,000"

PIAA,"Feb 9, 2022",4.16,4.20,4.12,4.15,"400,500"

PIAA,"Feb 10, 2022",4.13,4.25,4.05,4.06,"573,000"

PIAA,"Feb 11, 2022",4.10,4.15,4.07,4.09,"426,000"

PIAA,"Feb 14, 2022",4.04,4.12,4.02,4.04,"337,500"

PIAA,"Feb 15, 2022",4.04,4.13,4.02,4.09,"221,000"

PIAA,"Feb 16, 2022",4.10,4.18,4.04,4.06,"148,000"

PIAA,"Feb 17, 2022",4.09,4.09,3.97,3.99,"607,500"

PIAA,"Feb 18, 2022",4.10,4.14,4.03,4.06,"83,000"

PIAA,"Feb 21, 2022",4.09,4.09,4.00,4.01,"220,000"

PIAA,"Feb 22, 2022",4.01,4.05,3.95,4.03,"391,500"

PIAA,"Feb 23, 2022",4.13,4.13,3.97,4.03,"286,500"

PIAA,"Feb 24, 2022",3.93,4.02,3.75,3.82,"691,000"

PIAA,"Feb 25, 2022",3.85,3.98,3.80,3.84,"597,500"

PIAA,"Feb 28, 2022",3.95,3.95,3.84,3.87,"647,000"

PIAA,"Mar 1, 2022",3.90,4.08,3.90,4.01,"700,500"

PIAA,"Mar 2, 2022",3.90,3.95,3.88,3.90,"112,000"

PIAA,"Mar 3, 2022",4.00,4.00,3.90,3.97,"426,500"

PIAA,"Mar 4, 2022",3.90,4.07,3.87,3.90,"203,000"

PIAA,"Mar 7, 2022",4.01,4.01,3.71,3.77,"535,500"

PIAA,"Mar 8, 2022",3.90,3.90,3.70,3.75,"756,500"

PIAA,"Mar 9, 2022",3.90,3.90,3.75,3.79,"343,000"

PIAA,"Mar 10, 2022",3.80,3.95,3.68,3.82,"1,145,500"

