tic,date,open,high,low,close,volume

PTC,"Jan 3, 2022",8.68,8.71,8.50,8.59,"568,500"

PTC,"Jan 4, 2022",8.56,8.80,8.53,8.72,"613,000"

PTC,"Jan 5, 2022",8.79,8.80,8.70,8.75,"511,000"

PTC,"Jan 6, 2022",8.85,8.94,8.57,8.62,"1,733,500"

PTC,"Jan 7, 2022",8.69,8.70,8.55,8.64,"327,000"

PTC,"Jan 10, 2022",8.57,8.76,8.57,8.74,"740,000"

PTC,"Jan 11, 2022",8.76,9.09,8.65,8.86,"5,583,500"

PTC,"Jan 12, 2022",8.88,9.35,8.88,9.21,"6,385,000"

PTC,"Jan 13, 2022",9.25,9.50,9.20,9.31,"2,909,500"

PTC,"Jan 14, 2022",9.32,9.47,9.25,9.30,"1,467,500"

PTC,"Jan 17, 2022",9.25,9.25,9.00,9.10,"536,000"

PTC,"Jan 18, 2022",9.23,9.23,9.00,9.01,"1,035,500"

PTC,"Jan 19, 2022",9.18,9.18,8.76,8.80,"785,000"

PTC,"Jan 20, 2022",8.80,8.80,8.60,8.66,"1,158,000"

PTC,"Jan 21, 2022",8.70,8.70,8.59,8.62,"810,000"

PTC,"Jan 24, 2022",8.77,8.77,8.55,8.60,"402,500"

PTC,"Jan 25, 2022",8.62,8.73,8.55,8.60,"304,000"

PTC,"Jan 26, 2022",8.57,8.66,8.50,8.57,"218,500"

PTC,"Jan 27, 2022",8.73,8.73,8.51,8.55,"427,500"

PTC,"Jan 28, 2022",8.56,8.78,8.54,8.61,"533,000"

PTC,"Jan 31, 2022",8.64,8.80,8.63,8.76,"473,500"

PTC,"Feb 1, 2022",8.82,8.86,8.75,8.80,"531,000"

PTC,"Feb 2, 2022",8.84,9.00,8.84,8.94,"1,564,000"

PTC,"Feb 3, 2022",8.98,9.08,8.81,8.84,"860,000"

PTC,"Feb 4, 2022",8.94,8.94,8.84,8.88,"311,500"

PTC,"Feb 7, 2022",8.80,9.05,8.77,8.80,"1,505,000"

PTC,"Feb 8, 2022",8.80,8.89,8.67,8.73,"910,500"

PTC,"Feb 9, 2022",8.85,9.25,8.80,9.13,"2,535,000"

PTC,"Feb 10, 2022",9.17,9.25,8.40,8.44,"6,007,500"

PTC,"Feb 11, 2022",8.52,8.55,8.43,8.46,"1,222,500"

PTC,"Feb 14, 2022",8.50,8.50,8.30,8.31,"892,000"

PTC,"Feb 15, 2022",8.30,8.42,8.20,8.40,"913,000"

PTC,"Feb 16, 2022",8.40,8.50,8.35,8.37,"490,000"

PTC,"Feb 17, 2022",8.32,8.50,8.20,8.27,"546,500"

PTC,"Feb 18, 2022",8.27,8.32,8.21,8.25,"499,500"

PTC,"Feb 21, 2022",8.25,8.31,8.16,8.20,"1,250,500"

PTC,"Feb 22, 2022",8.25,8.29,7.70,7.97,"3,972,000"

PTC,"Feb 23, 2022",8.03,8.14,7.72,8.01,"1,502,000"

PTC,"Feb 24, 2022",7.85,7.99,7.60,7.90,"2,238,000"

PTC,"Feb 25, 2022",7.81,7.98,7.71,7.86,"780,000"

PTC,"Feb 28, 2022",7.85,7.93,7.70,7.90,"1,640,000"

PTC,"Mar 1, 2022",7.94,8.17,7.91,8.01,"2,184,500"

PTC,"Mar 2, 2022",8.00,8.14,7.83,7.99,"6,157,500"

PTC,"Mar 3, 2022",8.01,8.26,7.99,8.06,"1,191,000"

PTC,"Mar 4, 2022",8.06,8.12,7.90,7.95,"600,500"

PTC,"Mar 7, 2022",7.85,7.90,7.60,7.66,"617,500"

PTC,"Mar 8, 2022",7.66,7.75,7.55,7.57,"556,500"

PTC,"Mar 9, 2022",7.74,7.74,7.63,7.70,"327,000"

PTC,"Mar 10, 2022",7.70,7.85,7.70,7.74,"532,500"

PTC,"Mar 11, 2022",7.74,7.74,7.48,7.53,"1,088,000"

PTC,"Mar 14, 2022",7.53,7.60,7.16,7.40,"880,500"

PTC,"Mar 15, 2022",7.40,7.60,7.33,7.57,"889,000"

PTC,"Mar 16, 2022",7.60,7.80,7.52,7.55,"374,500"

PTC,"Mar 17, 2022",7.60,7.64,7.43,7.46,"154,000"

PTC,"Mar 18, 2022",7.31,7.59,7.25,7.37,"556,500"

PTC,"Mar 21, 2022",7.40,7.50,7.30,7.38,"166,000"

PTC,"Mar 22, 2022",7.33,7.50,7.18,7.39,"887,000"

PTC,"Mar 24, 2022",7.40,7.63,7.32,7.53,"466,500"

PTC,"Mar 25, 2022",7.45,7.70,7.45,7.53,"276,500"

PTC,"Mar 28, 2022",7.41,7.75,7.35,7.63,"449,500"

PTC,"Mar 29, 2022",7.63,7.86,7.56,7.59,"1,316,500"

PTC,"Mar 30, 2022",7.56,7.85,7.50,7.66,"1,343,500"

PTC,"Mar 31, 2022",7.70,7.85,7.51,7.80,"295,000"

PTC,"Apr 1, 2022",7.70,7.77,7.54,7.66,"1,511,500"

PTC,"Apr 4, 2022",7.33,7.50,7.33,7.38,"428,500"

PTC,"Apr 5, 2022",7.49,7.65,7.40,7.48,"378,500"

PTC,"Apr 6, 2022",7.60,7.60,7.45,7.47,"73,500"

PTC,"Apr 7, 2022",7.55,7.56,7.42,7.48,"83,500"

PTC,"Apr 8, 2022",7.56,7.68,7.40,7.65,"462,000"

PTC,"Apr 11, 2022",7.80,8.25,7.80,8.04,"4,844,500"

PTC,"Apr 12, 2022",8.07,8.10,7.86,8.06,"808,500"

PTC,"Apr 13, 2022",8.07,8.20,7.93,7.95,"1,021,500"

PTC,"Apr 14, 2022",7.85,7.90,7.69,7.77,"1,098,000"

PTC,"Apr 15, 2022",7.90,8.09,7.80,8.02,"1,995,500"

PTC,"Apr 18, 2022",8.02,8.08,7.85,7.95,"329,000"

PTC,"Apr 19, 2022",8.00,8.00,7.80,7.93,"355,500"

PTC,"Apr 20, 2022",7.90,7.90,7.67,7.70,"571,500"

PTC,"Apr 21, 2022",7.70,7.81,7.65,7.79,"457,500"

PTC,"Apr 22, 2022",7.71,7.78,7.67,7.70,"375,500"

PTC,"Apr 25, 2022",7.70,7.84,7.35,7.37,"3,930,500"

PTC,"Apr 26, 2022",7.45,7.50,7.00,7.12,"10,547,500"

PTC,"Apr 27, 2022",7.19,7.34,7.19,7.23,"907,500"

PTC,"Apr 28, 2022",7.17,7.28,7.00,7.15,"2,019,000"

PTC,"May 6, 2022",7.16,7.30,7.02,7.09,"338,500"

PTC,"May 9, 2022",7.05,7.10,6.78,7.06,"1,562,500"

PTC,"May 10, 2022",7.00,7.18,6.88,7.02,"857,500"

PTC,"May 11, 2022",7.00,7.09,6.65,6.98,"3,423,000"

PTC,"May 12, 2022",6.95,7.07,6.69,6.99,"2,710,500"

