tic,date,open,high,low,close,volume

SHFA,"Jan 3, 2022",182.60,189.00,182.60,189.00,"2,700"

SHFA,"Jan 4, 2022",189.00,191.90,188.06,189.71,"29,700"

SHFA,"Jan 5, 2022",189.00,191.98,186.52,191.25,"10,500"

SHFA,"Jan 6, 2022",190.00,191.00,188.00,189.50,"8,000"

SHFA,"Jan 7, 2022",189.50,191.00,189.50,191.00,"3,600"

SHFA,"Jan 10, 2022",189.00,190.00,185.86,189.70,"49,200"

SHFA,"Jan 11, 2022",186.05,189.99,186.05,189.43,"6,000"

SHFA,"Jan 12, 2022",191.70,191.70,186.50,187.05,"8,700"

SHFA,"Jan 13, 2022",185.06,187.90,185.06,187.64,"2,100"

SHFA,"Jan 14, 2022",186.40,186.99,185.00,186.99,"3,800"

SHFA,"Jan 17, 2022",185.06,186.99,182.00,182.92,"4,900"

SHFA,"Jan 18, 2022",183.96,183.96,181.00,182.75,"3,600"

SHFA,"Jan 19, 2022",182.95,183.00,177.00,178.11,"3,500"

SHFA,"Jan 20, 2022",175.01,179.00,175.00,179.00,"5,100"

SHFA,"Jan 21, 2022",180.10,181.00,175.00,176.48,"9,300"

SHFA,"Jan 24, 2022",176.48,177.01,176.48,176.50,"5,900"

SHFA,"Jan 25, 2022",178.94,180.00,178.94,179.00,"5,700"

SHFA,"Jan 26, 2022",175.00,180.00,174.20,180.00,900

SHFA,"Jan 27, 2022",180.00,180.00,176.02,180.00,"1,000"

SHFA,"Jan 28, 2022",180.00,181.00,178.00,178.00,"6,600"

SHFA,"Jan 31, 2022",174.51,177.84,174.50,177.84,900

SHFA,"Feb 1, 2022",178.90,180.00,178.90,180.00,"14,700"

SHFA,"Feb 2, 2022",180.01,181.90,180.00,181.05,"15,900"

SHFA,"Feb 3, 2022",181.50,185.00,178.01,183.61,"457,500"

SHFA,"Feb 4, 2022",183.61,184.00,180.20,180.71,"119,800"

SHFA,"Feb 7, 2022",180.00,184.00,180.00,183.99,"83,100"

SHFA,"Feb 8, 2022",183.99,192.00,183.99,189.84,"217,300"

SHFA,"Feb 9, 2022",190.99,194.98,190.10,191.68,"23,500"

SHFA,"Feb 10, 2022",193.50,194.10,191.00,191.00,"13,300"

SHFA,"Feb 11, 2022",191.99,193.90,191.99,193.34,"5,200"

SHFA,"Feb 14, 2022",190.00,193.00,188.00,191.00,"7,100"

SHFA,"Feb 15, 2022",191.64,195.00,191.64,192.90,"19,400"

SHFA,"Feb 17, 2022",191.02,191.02,190.01,190.64,800

SHFA,"Feb 22, 2022",190.00,192.50,188.00,191.00,"6,500"

SHFA,"Feb 23, 2022",184.21,192.00,184.21,191.38,"1,900"

SHFA,"Feb 24, 2022",189.00,191.00,180.80,181.33,"10,100"

SHFA,"Feb 25, 2022",182.90,186.60,182.90,186.41,"2,300"

SHFA,"Feb 28, 2022",189.50,190.00,182.01,187.85,"45,100"

SHFA,"Mar 1, 2022",188.00,188.99,185.00,185.00,"2,000"

SHFA,"Mar 2, 2022",181.11,185.00,180.00,184.25,"1,800"

SHFA,"Mar 7, 2022",184.80,185.00,178.02,183.00,"3,100"

SHFA,"Mar 8, 2022",177.20,194.98,177.00,187.23,"5,900"

SHFA,"Mar 9, 2022",187.23,188.00,187.23,188.00,700

SHFA,"Mar 10, 2022",188.40,195.00,188.40,193.39,"5,200"

SHFA,"Mar 11, 2022",195.48,195.50,195.48,195.50,"1,000"

SHFA,"Mar 15, 2022",190.00,194.90,190.00,194.69,"1,100"

SHFA,"Mar 16, 2022",190.00,194.95,190.00,194.88,"1,500"

SHFA,"Mar 17, 2022",190.00,190.00,190.00,190.00,300

SHFA,"Mar 18, 2022",190.00,190.00,190.00,190.00,"1,200"

SHFA,"Mar 24, 2022",188.00,188.00,184.00,184.96,"10,700"

SHFA,"Mar 25, 2022",185.00,188.90,179.00,181.06,"29,100"

SHFA,"Mar 28, 2022",189.99,189.99,189.99,181.06,100

SHFA,"Mar 29, 2022",182.00,191.90,182.00,188.88,"5,300"

SHFA,"Mar 30, 2022",184.05,195.00,183.22,191.33,"11,600"

SHFA,"Mar 31, 2022",193.00,193.00,193.00,193.00,"3,000"

SHFA,"Apr 4, 2022",192.30,199.83,192.20,196.15,"3,100"

SHFA,"Apr 5, 2022",187.10,194.80,187.10,193.95,"7,600"

SHFA,"Apr 6, 2022",190.03,192.90,189.12,191.01,"6,300"

SHFA,"Apr 7, 2022",188.15,199.40,188.00,195.12,"12,400"

SHFA,"Apr 8, 2022",189.02,194.00,189.00,194.00,"7,500"

SHFA,"Apr 11, 2022",195.00,204.90,190.22,201.63,"28,300"

SHFA,"Apr 12, 2022",195.10,203.00,194.21,202.94,"5,700"

SHFA,"Apr 13, 2022",197.23,197.23,197.00,197.07,800

SHFA,"Apr 14, 2022",198.00,202.00,198.00,201.92,"3,000"

SHFA,"Apr 15, 2022",200.00,200.00,199.99,200.00,"1,800"

SHFA,"Apr 18, 2022",195.21,203.00,195.20,201.25,"8,700"

SHFA,"Apr 19, 2022",199.00,199.00,194.60,194.60,"7,500"

SHFA,"Apr 20, 2022",196.00,198.79,193.00,198.77,"2,600"

SHFA,"Apr 21, 2022",195.00,196.00,193.12,193.31,"22,800"

SHFA,"Apr 22, 2022",193.00,193.00,192.02,192.02,"1,800"

SHFA,"Apr 27, 2022",192.99,194.00,192.90,193.17,"7,800"

SHFA,"Apr 28, 2022",192.00,192.50,178.69,180.28,"68,000"

SHFA,"May 6, 2022",178.40,183.00,176.04,181.29,"16,500"

SHFA,"May 9, 2022",181.00,181.00,176.06,176.06,"1,700"

SHFA,"May 10, 2022",178.50,182.60,174.56,182.40,"10,800"

SHFA,"May 11, 2022",179.05,180.00,178.45,179.11,"1,600"

SHFA,"May 12, 2022",179.99,181.00,179.99,181.00,"5,300"

SHFA,"May 13, 2022",178.03,186.40,178.00,181.86,"7,500"

SHFA,"May 16, 2022",181.49,181.75,178.10,181.75,"8,900"

SHFA,"May 17, 2022",181.90,182.81,181.90,182.03,"1,100"

SHFA,"May 18, 2022",176.42,183.00,176.42,181.97,"10,900"

SHFA,"May 19, 2022",182.80,183.00,182.00,182.00,"18,400"

