tic,date,open,high,low,close,volume

SNGP,"Jan 3, 2022",33.75,34.39,33.72,34.21,"1,155,963"

SNGP,"Jan 4, 2022",34.50,35.44,34.50,35.01,"2,413,792"

SNGP,"Jan 5, 2022",35.01,35.14,34.50,34.62,"973,515"

SNGP,"Jan 6, 2022",34.72,34.89,34.09,34.33,"1,281,667"

SNGP,"Jan 7, 2022",34.11,34.48,33.90,34.17,"614,354"

SNGP,"Jan 10, 2022",34.00,34.86,33.92,34.22,"1,616,567"

SNGP,"Jan 11, 2022",34.21,34.88,34.10,34.70,"1,219,758"

SNGP,"Jan 12, 2022",34.72,35.13,34.50,34.56,"1,064,244"

SNGP,"Jan 13, 2022",34.57,34.65,34.30,34.49,"442,266"

SNGP,"Jan 14, 2022",34.66,34.89,34.32,34.49,"734,039"

SNGP,"Jan 17, 2022",34.49,34.59,33.96,34.21,"423,149"

SNGP,"Jan 18, 2022",34.21,34.75,34.15,34.29,"660,538"

SNGP,"Jan 19, 2022",34.30,34.67,33.75,33.85,"712,219"

SNGP,"Jan 20, 2022",33.85,33.89,33.42,33.58,"630,133"

SNGP,"Jan 21, 2022",33.77,33.89,33.59,33.74,"822,043"

SNGP,"Jan 24, 2022",33.75,33.75,33.10,33.50,"211,018"

SNGP,"Jan 25, 2022",33.51,34.55,33.50,34.17,"1,356,002"

SNGP,"Jan 26, 2022",34.20,34.37,33.71,34.04,"480,932"

SNGP,"Jan 27, 2022",34.10,34.20,33.75,33.81,"305,343"

SNGP,"Jan 28, 2022",33.82,34.13,33.10,33.20,"1,940,253"

SNGP,"Jan 31, 2022",33.49,33.50,33.25,33.42,"481,484"

SNGP,"Feb 1, 2022",33.60,33.95,33.50,33.69,"848,300"

SNGP,"Feb 2, 2022",33.70,34.16,33.61,34.11,"1,091,217"

SNGP,"Feb 3, 2022",34.47,34.49,33.80,33.93,"1,559,827"

SNGP,"Feb 4, 2022",33.80,34.09,33.80,33.93,"449,330"

SNGP,"Feb 7, 2022",34.18,34.90,33.75,34.03,"1,597,563"

SNGP,"Feb 8, 2022",34.20,34.35,34.00,34.13,"613,871"

SNGP,"Feb 9, 2022",34.13,34.35,33.98,34.02,"901,158"

SNGP,"Feb 10, 2022",34.30,34.30,33.90,33.95,"1,037,563"

SNGP,"Feb 11, 2022",33.86,34.01,33.70,33.75,"482,577"

SNGP,"Feb 14, 2022",34.01,35.40,33.85,35.03,"4,223,221"

SNGP,"Feb 15, 2022",35.15,35.53,34.36,35.04,"1,689,469"

SNGP,"Feb 16, 2022",35.10,35.14,34.39,34.53,"727,665"

SNGP,"Feb 17, 2022",34.50,34.75,34.25,34.55,"589,978"

SNGP,"Feb 18, 2022",34.94,37.14,34.61,37.14,"9,883,242"

SNGP,"Feb 21, 2022",37.34,37.90,36.50,36.69,"7,998,237"

SNGP,"Feb 22, 2022",36.51,36.51,35.40,35.98,"1,970,751"

SNGP,"Feb 23, 2022",36.00,36.30,34.61,34.82,"2,674,858"

SNGP,"Feb 24, 2022",34.40,34.40,32.60,32.90,"2,379,712"

SNGP,"Feb 25, 2022",33.02,33.75,33.00,33.40,"1,048,062"

SNGP,"Feb 28, 2022",33.50,34.20,32.90,33.97,"1,059,816"

SNGP,"Mar 1, 2022",34.59,35.15,33.98,34.39,"1,831,267"

SNGP,"Mar 2, 2022",34.08,34.10,33.70,33.92,"979,642"

SNGP,"Mar 3, 2022",34.01,35.60,33.92,34.63,"3,324,012"

SNGP,"Mar 4, 2022",34.79,35.00,34.02,34.63,"2,195,742"

SNGP,"Mar 7, 2022",34.45,34.45,32.11,32.50,"2,046,964"

SNGP,"Mar 8, 2022",32.50,33.28,31.25,31.42,"1,679,860"

SNGP,"Mar 9, 2022",31.42,32.22,31.12,31.50,"740,117"

SNGP,"Mar 10, 2022",32.00,32.30,31.60,31.83,"622,441"

SNGP,"Mar 11, 2022",31.70,31.99,31.02,31.19,"498,072"

SNGP,"Mar 14, 2022",31.49,31.50,30.66,30.94,"420,222"

SNGP,"Mar 15, 2022",31.09,32.06,31.09,31.89,"625,174"

SNGP,"Mar 16, 2022",31.99,32.37,31.50,32.20,"535,973"

SNGP,"Mar 17, 2022",32.59,32.59,31.80,31.81,"248,305"

SNGP,"Mar 18, 2022",30.51,31.50,29.81,30.13,"6,110,583"

